id,work_employed,work_onleave,work_temp_unemployed,work_looking,work_retired,work_disabled,work_oth,work_occupation,work_self,inc_wage,inc_retempl,inc_self,inc_ss,inc_intdiv,inc_rent,inc_gov,inc_alimony,inc_child,inc_retsav,inc_wage_freq,inc_retempl_freq,inc_self_freq,inc_ss_freq,inc_intdiv_freq,inc_rent_freq,inc_gov_freq,inc_alimony_freq,inc_child_freq,inc_retsav_freq,paypref_b1,paypref_b2,paypref_nb1,paypref_nb2,paypref_lt10,paypref_10to25,paypref_25to50,paypref_50to100,paypref_100plus,mobile_howfunded,cc_num,paypref_web,cc_type_1,cc_type_2,cc_type_3,cc_type_4,cc_type_5,cc_type_6,cc_rewards_1,cc_rewards_2,cc_rewards_3,cc_rewards_4,cc_rewards_5,cc_rewards_6,cc_hasbal_1,cc_hasbal_2,cc_hasbal_3,cc_hasbal_4,cc_hasbal_5,cc_hasbal_6,cc_chip_1,cc_chip_2,cc_chip_3,cc_chip_4,cc_chip_5,cc_chip_6,dc_num,dc_logo_1,dc_logo_2,dc_logo_3,dc_logo_4,dc_logo_5,dc_rewards_1,dc_rewards_2,dc_rewards_3,dc_rewards_4,dc_rewards_5,dc_acct_1,dc_acct_2,dc_acct_3,dc_acct_4,dc_acct_5,shops_online,last_income_date,paypref_b1_why,paypref_b2_why,paypref_nb1_why,paypref_nb2_why,paypref_web_why,e_exp_csh,e_exp_chk,e_exp_od,e_exp_cc,e_exp_heloc,e_exp_sav,e_exp_payday,e_exp_fam,e_exp_cover,e_exp_pawn,e_exp_csh_saved,e_exp_chk_saved,e_exp_sav_saved,e_exp_svc_saved,e_exp_tot_saved,cashwith_amnt_prim,cashwith_amnt_oth,cashwith_location,cashwith_num_prim,cashwith_num_oth,interest_level,memory_lpd,memory_checkbook,memory_receipts,memory_finrec,memory_oth,next_income_date,scpc_date,gender,age,marital_status,highest_education,hispaniclatino,hispaniclatino_group,race_white,race_black,race_asian,race_other,hh_size,income_hh,income_hh_gte500k,homeowner,home_value,home_debt,other_assets,other_debts,ind_weight,_merge
104348,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,1,3,3,3,3,3,NA,1,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2017-10-23,7,8,7,3,7,NA,NA,NA,NA,NA,2000,NA,NA,2000,NA,15,6000,40000,145,46160,100,100,1,8.696428298950195,1,1,0,0,1,0,0,2017-11-24,2017-09-21,1,34,1,14,0,NA,1,0,0,0,4,15,NA,1,300000,160000,50000,0,3.494981288909912,3
102527,0,0,0,1,1,0,0,NA,NA,0,0,0,1,1,0,0,0,0,0,NA,NA,NA,4,4,NA,NA,NA,NA,NA,7,2,3,4,1,3,3,3,3,NA,1,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2017-09-20,3,6,7,1,7,NA,NA,NA,NA,NA,2000,NA,NA,2000,NA,1290,0,25000,0,26290,40,80,4,5,1,2,0,1,1,1,0,2017-10-18,2017-10-04,0,68,2,14,0,NA,1,0,0,0,1,8,NA,0,NA,NA,400000,4000,0.4814712405204773,3
100250,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,1,4,1,1,1,1,1,NA,1,4,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,3,3,9,9,9,2000,2000,0,200,0,0,0,0,2000,0,0,2000,0,0,2000,40,0,1,2,NA,3,0,1,0,0,0,2017-10-11,2017-09-21,1,42,1,11,0,NA,1,0,0,0,NA,15,NA,1,280000,180000,200000,50000,0.637048065662384,3
102526,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,4,4,4,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,3,3,3,0,0,0,0,0,1,2,2,2,2,1,2017-09-28,1,1,3,1,3,0,0,0,0,0,1000,0,0,1000,0,0,875,1000,0,1875,20,800,1,8.696428298950195,1,2,0,1,0,0,0,2017-10-05,2017-09-19,1,27,1,9,0,NA,1,0,0,0,4,12,NA,0,NA,NA,0,50000,4.000852108001709,3
101986,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,3,1,1,3,3,3,3,NA,1,3,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2016-10-20,3,1,3,1,3,NA,NA,NA,2000,NA,NA,NA,NA,2000,NA,0,0,0,0,0,30,0,1,2,NA,1,0,0,0,0,0,NA,2017-09-19,0,56,6,13,0,NA,1,0,0,0,2,8,NA,1,180000,0,0,5600,0.24995987117290497,3
101202,0,0,0,0,1,0,0,NA,NA,0,1,0,1,1,0,0,0,0,1,NA,4,NA,4,8,NA,NA,NA,NA,8,7,3,3,2,1,1,3,3,3,NA,2,3,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2017-10-02,6,6,6,6,3,NA,1000,NA,1000,NA,NA,NA,NA,2000,NA,500,2587,2600,0,5687,300,0,1,1,NA,2,0,0,1,1,0,2017-11-01,2017-09-28,1,85,1,13,0,NA,1,0,0,0,2,15,NA,1,398000,0,1000000,0,0.5649179220199585,3
100299,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,3,4,3,3,3,3,3,NA,1,3,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2017-09-15,3,1,7,3,3,NA,NA,NA,NA,NA,2000,NA,NA,2000,NA,100,2000,20000,0,22100,200,0,1,1,NA,1,0,0,0,1,0,2017-10-13,2017-09-19,1,41,1,13,0,NA,0,0,1,0,4,16,NA,1,450000,210000,20000,10000,1.8147072792053223,3
100035,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,4,1,1,1,3,3,3,NA,5,3,2,1,4,2,4,NA,1,1,0,1,1,NA,0,0,0,0,0,NA,1,1,0,1,0,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2017-10-21,6,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,2000,2000,NA,250,500,25,20,795,40,0,1,0.3333333432674408,NA,1,0,0,0,0,0,2017-11-03,2017-09-19,0,59,4,10,0,NA,1,0,0,0,2,8,NA,1,300000,0,10000,0,0.2499617636203766,3
102468,1,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,0,0,NA,NA,9,NA,6,NA,NA,NA,NA,NA,7,2,3,2,1,3,3,3,3,NA,1,10,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2017-10-09,3,3,3,3,8,NA,2000,NA,NA,NA,NA,NA,NA,2000,NA,100,1000,0,0,1100,40,40,6,2,0.1666666716337204,2,0,1,0,1,0,NA,2017-09-21,0,58,1,13,0,NA,1,0,0,0,3,17,NA,1,350000,20000,50000,0,0.9078366756439209,3
102956,0,0,0,1,0,0,0,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,7,3,3,1,1,3,3,3,3,NA,2,3,5,2,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2017-10-16,3,3,3,3,3,NA,NA,NA,NA,NA,2000,NA,NA,2000,NA,80,16352,200000,100,216532,200,0,1,4.348214149475098,NA,3,0,0,1,1,0,2017-11-16,2017-09-30,1,59,1,14,0,NA,1,0,0,0,4,14,NA,1,900000,450000,2500000,125000,0.3807196617126465,3
