id,age,agerange,highest_education,work_occupation,gender,hhincome,hourswork,livewithpartner,race,marital_status,hispaniclatino,hispaniclatino_group,workfullpart,laborstatus,start_date,end_date,pa031,pa035,pa005,pa026_a,csh_stored,pa055_b1,pa055_b2,pa055_b3,pa055_b4,pa055_b5,mobille_adopt,mobile_inperson_adopt,mobile_p2p_adopt,computer_adopt,pa044_d,pa013,pa198_b,fees_paid_atm,fees_paid_overdraft,fees_paid_bounced,fees_paid_lowbal,fees_paid_excesstran,fees_paid_teller,fees_paid_none,chk_acnt_num,sav_acnt_num,pa002,pa053,cc_rewards,ccfee_csh,ccfee_late,ccfee_baltran,ccfee_annual,ccfee_overlimit,ccfee_foreign,ccfee_none,pa052,pa056,pa198_a,pa198_c,pa198_f,pa198_g,pa198_i,pa198_k,heard_crypto,crypto_value,pa133_a,pa133_b,pa133_c,which_crypto_bitcoin,which_crypto_eth,which_crypto_doge,which_crypto_lite,which_crypto_other,which_crypto,pa050_csh,pa050_chk,pa050_mon,pa050_dc,pa050_cc,pa050_svc,pa050_banp,pa050_obbp,pa050_crypto,pa024,pa044_a,pa044_b,pa044_c,pa044_g,pa044_h,pa044_i,pa044_e,pa040_e,pa042_a,pa042_e,used_chkcashing,underbanked_monord,underbanked_remittance,pa055_a2_followup,pu010,pu009,pu011,ph006,ph004,ph009_a,ph009_b,ph009_c,ph009_d,ph025_b,ph025_c,ph025_d,income_hh,homeowner,de012,paypref_b1,paypref_web,q115_c_filter,paypref_inperson,bnpl001,bnpl002,bnpl003,bnpl004,bnpl006,have_cash_end,race_white,race_black,race_asian,as003_i4,as003_i1,as003_i2,as003_i3,as003_i5,as003_i6,as003_a7,as003_b7,as003_c7,as003_d7,as003_e7,as003_f7,as003_g7,as003_h7,as003_i7,hh_size,shops_online,chk_acnt_adopt,sav_acnt_adopt,bnk_acnt_adopt,paypal_adopt,zelle_adopt,venmo_adopt,other_nbops_adopt,nbop_acnt_adopt,ob_adopt,mb_adopt,chk_adopt,mon_adopt,csh_adopt,dc_adopt,cc_adopt,svc_adopt,banp_adopt,obbp_adopt,crypto_adopt,crypto_used,cc_num,dc_num,pa126_a,race_other,work_employed,work_onleave,work_temp_unemployed,work_looking,work_retired,work_disabled,work_other,work_self,census_division,e_exp_cover,e_exp_csh,e_exp_chk,e_exp_prepaid,e_exp_od,e_exp_cc,e_exp_sav,e_exp_heloc,e_exp_pawn,e_exp_payday,e_exp_csh_saved,e_exp_chk_saved,e_exp_sav_saved,e_exp_prepaid_saved,e_exp_tot_saved,e_exp_fam,memory_receipts,memory_finrec,memory_memory,memory_oth,memory_none,interest_level,watch_video,video_helpful,urban_cat,ind_weight,ind_weight_all,as003_a4,as003_b4,as003_h4,as003_c4,as003_d4,as003_e4,as003_f4,as003_g4,as003_g1,as003_h1,as003_a1,as003_b1,as003_c1,as003_d1,as003_e1,as003_f1,as003_h2,as003_g2,as003_f2,as003_e2,as003_d2,as003_c2,as003_b2,as003_a2,as003_a3,as003_b3,as003_c3,as003_d3,as003_e3,as003_f3,as003_g3,as003_h3,as003_h5,as003_a5,as003_b5,as003_c5,as003_d5,as003_e5,as003_f5,as003_g5,as003_h6,as003_a6,as003_b6,as003_c6,as003_d6,as003_e6,as003_f6,as003_g6
104348,38,NA,14,2,1,15,40,NA,1,1,0,NA,1,1,2021-10-27,2021-10-27,1,0,NA,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,NA,1,1,0,0,0,0,0,0,1,7,3,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,0,0,0,1,0,0,1,NA,0,1,0,1,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,6,0,0,0,0,0,0,0,0,150000,1,NA,3,3,1,3,1,2,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,5,4,5,5,5,4,5,4,5,4,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,3,1,NA,0,1,0,0,0,0,0,0,0,6,2000,0,0,0,2000,0,0,0,0,0,0,0,150000,0,150000,0,1,0,1,0,0,1,0,NA,2,0.5641413331031799,1.1541081666946411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101986,60,NA,13,3,0,9,32,0,1,6,0,NA,0,1,2021-10-08,2021-10-08,1,1,NA,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,NA,1,1,0,1,0,0,0,0,0,2,6,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,1,0,1,1,0,1,1,NA,1,1,0,0,0,0,0,0,0,1,NA,0,1,NA,NA,NA,0,NA,6,0,0,0,0,0,0,0,0,30000,1,NA,7,3,1,3,1,1,1,2,3,1,1,0,0,NA,NA,NA,NA,NA,NA,3,1,4,4,4,4,3,1,4,2,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,6,2,NA,0,1,0,0,0,0,0,0,0,6,2000,0,0,0,1000,0,1000,0,0,0,41,1000,10000,0,11041,0,1,1,1,0,0,2,0,NA,3,0.5704038739204407,0.8421417474746704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100581,33,NA,14,4,0,15,40,NA,1,1,0,NA,1,1,2021-10-22,2021-10-22,1,1,NA,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,2,NA,1,1,0,0,0,0,0,0,1,7,2,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,1,0,1,1,NA,1,1,NA,1,1,0,1,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,5,0,0,0,0,0,0,0,0,100000,1,NA,7,3,1,3,1,1,2,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,3,2,5,5,5,2,3,1,5,4,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,2,1,NA,0,1,0,0,0,0,0,0,1,6,2000,0,0,0,0,0,2000,0,0,0,0,2000,20000,0,22000,0,0,1,1,0,0,2,0,NA,3,1.883387565612793,2.12509822845459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102786,55,NA,10,NA,0,5,NA,0,2,6,0,NA,NA,6,2021-10-26,2021-10-26,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA,.,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0,NA,NA,NA,0,0,NA,4,NA,0,1,3,2,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,4,3,4,3,4,3,3,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,NA,6,20,20,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,2,0.37406811118125916,0.4221521019935608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100035,63,NA,10,NA,0,1,NA,0,1,4,0,NA,NA,4,2021-10-13,2021-10-13,1,1,NA,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,2,NA,1,1,0,0,0,0,0,0,1,7,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,1,0,1,1,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,5,0,0,0,0,1,0,0,0,1747,1,NA,7,3,1,4,2,2,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,4,3,4,4,3,4,4,3,1,2,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,3,1,NA,0,0,0,0,1,0,0,0,NA,6,2000,0,2000,0,0,0,0,0,0,0,100,100,0,0,200,0,0,1,0,0,0,1,1,1,3,0.3047490119934082,0.4082808494567871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104351,51,NA,13,2,1,15,40,0,1,4,0,NA,1,1,2021-10-09,2021-10-09,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,NA,1,1,0,0,0,1,0,0,0,4,2,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,1,0,0,1,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,5,0,0,0,0,0,0,0,0,103000,1,NA,2,3,1,1,1,2,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,5,2,4,4,4,2,2,1,2,NA,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,2,1,NA,0,1,0,0,0,0,0,0,0,6,2000,0,2000,0,0,0,0,0,0,0,10000,3500,1200,1500,16200,0,1,1,1,0,0,2,0,NA,2,0.4770474433898926,0.8040613532066345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103676,61,NA,13,1,1,16,40,NA,6,1,0,NA,1,5,2021-10-17,2021-10-17,1,1,NA,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,3,1,NA,1,1,0,0,0,0,0,0,1,7,6,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,1,0,0,1,1,0,1,NA,1,1,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,6,0,0,0,0,0,0,0,0,162500,1,NA,3,3,1,3,2,3,NA,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,5,2,5,5,5,5,5,2,5,3,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,6,1,NA,0,0,0,0,0,1,0,0,0,8,2000,0,0,0,2000,0,0,0,0,0,50,4000,75000,0,79050,0,1,1,0,0,0,1,0,NA,2,1.8657435178756714,2.1317331790924072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100009,71,NA,13,NA,0,4,NA,0,1,5,0,NA,NA,6,2021-10-27,2021-10-27,1,0,NA,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,NA,NA,1,1,0,0,0,0,0,0,1,7,5,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,0,0,0,1,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,7,0,0,0,0,0,0,0,0,10420,0,NA,7,5,1,5,2,2,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,3,2,3,4,4,4,4,2,3,2,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,5,1,NA,0,0,0,0,0,0,1,0,NA,6,500,200,300,0,0,0,0,0,0,0,240,100,0,0,340,0,1,1,1,0,0,2,1,1,3,0.4028967022895813,0.6275773644447327,4,2,4,4,4,4,4,4,4,2,3,2,4,4,3,3,2,4,4,3,3,4,4,4,2,2,2,4,3,2,4,2,2,3,2,4,4,3,3,4,3,3,3,4,4,3,4,4
100901,54,NA,11,2,0,9,20,0,2,6,0,NA,0,1,2021-10-28,2021-10-28,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,.,NA,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,0,1,1,NA,0,0,0,NA,0,1,0,0,0,0,0,0,0,1,NA,0,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,0,0,55000,0,NA,8,4,1,4,3,3,NA,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,5,3,4,3,4,3,3,5,3,2,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,NA,3,NA,0,1,0,0,0,0,0,0,0,6,1500,300,1200,0,0,0,0,0,0,0,0,1200,0,0,1200,0,0,0,1,1,0,1,0,NA,3,0.573076069355011,0.9482340216636658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103755,60,NA,10,2,1,10,55,NA,1,1,0,NA,1,7,2021-11-01,2021-11-01,0,0,NA,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,.,NA,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,0,0,1,NA,1,0,1,NA,1,0,1,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,0,0,45000,1,NA,4,4,1,4,1,2,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,3,2,4,5,4,2,4,3,5,3,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,NA,2,NA,0,0,0,0,0,0,0,1,0,6,2000,0,2000,0,0,0,0,0,0,0,20,350,250,50,670,0,0,1,1,0,0,2,1,1,3,0.3627278506755829,0.509508490562439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
