id,dc_num,work_employed,work_onleave,work_temp_unemployed,work_looking,work_retired,work_disabled,work_other,work_occupation,work_self,inc_wage,inc_retempl,inc_self,inc_ss,inc_intdiv,inc_rent,inc_gov,inc_alimony,inc_child,inc_retsav,inc_wage_freq,inc_retempl_freq,inc_self_freq,inc_ss_freq,inc_intdiv_freq,inc_rent_freq,inc_gov_freq,inc_alimony_freq,inc_child_freq,inc_retsav_freq,paypref_b1,paypref_b2,paypref_nb1,paypref_nb2,paypref_lt10,paypref_10to25,paypref_25to50,paypref_50to100,paypref_100plus,mobile_howfunded,cc_num,paypref_web,cc_type_1,cc_type_2,cc_type_3,cc_type_4,cc_type_5,cc_rewards_1,cc_rewards_2,cc_rewards_3,cc_rewards_4,cc_rewards_5,cc_hasbal_1,cc_hasbal_2,cc_hasbal_3,cc_hasbal_4,cc_hasbal_5,cc_chip_1,cc_chip_2,cc_chip_3,cc_chip_4,cc_chip_5,dc_logo_1,dc_logo_2,dc_logo_3,dc_logo_4,dc_logo_5,dc_rewards_1,dc_rewards_2,dc_rewards_3,dc_rewards_4,dc_rewards_5,dc_acct_1,dc_acct_2,dc_acct_3,dc_acct_4,dc_acct_5,shops_online,last_income_date,paypref_b1_why,paypref_b2_why,paypref_nb1_why,paypref_nb2_why,paypref_web_why,e_exp_csh,e_exp_chk,e_exp_od,e_exp_cc,e_exp_heloc,e_exp_sav,e_exp_payday,e_exp_fam,e_exp_cover,e_exp_pawn,e_exp_csh_saved,e_exp_chk_saved,e_exp_sav_saved,e_exp_prepaid_saved,e_exp_tot_saved,e_exp_prepaid,interest_level,memory_lpd,memory_checkbook,memory_receipts,memory_finrec,memory_memory,memory_oth,next_income_date,scpc_date,gender,age,marital_status,highest_education,hispaniclatino,hispaniclatino_group,race_white,race_black,race_asian,race_other,hh_size,income_hh,homeowner,home_value,home_debt,other_assets,other_debts,ind_weight,census_division,_merge
104348,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,1,3,3,3,3,3,NA,1,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-10-11,7,3,7,3,7,NA,NA,NA,NA,NA,2000,NA,NA,2000,NA,140,8679,30000,0,38819,NA,1,1,0,1,0,0,0,2018-11-08,2018-09-19,1,34,1,14,0,NA,1,0,0,0,4,120000,1,330000,100000,200000,0,4.000543117523193,1,3
102527,1,1,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,2,NA,NA,4,NA,NA,NA,NA,NA,NA,3,2,3,1,1,3,3,3,3,NA,1,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2018-10-05,3,6,7,3,7,NA,NA,NA,NA,NA,2000,NA,NA,2000,NA,6000,0,10000,0,16000,NA,2,0,0,1,1,1,0,2018-10-17,2018-10-12,0,69,5,14,0,NA,1,0,0,0,1,12500,0,NA,NA,500000,4500,0.6914842128753662,1,3
100250,2,1,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,2,NA,7,NA,NA,4,NA,NA,NA,NA,7,2,1,4,1,1,NA,4,4,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,NA,NA,NA,0,0,NA,NA,NA,1,2,NA,NA,NA,0,2018-09-26,3,6,3,1,NA,0,2000,0,0,0,0,0,0,2000,0,0,12530,0,150,12680,0,3,0,1,0,0,0,0,NA,2018-09-20,1,43,1,11,0,NA,1,0,0,0,4,125000,1,300000,110000,200000,75000,0.41351717710494995,1,3
102526,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,1,4,4,4,4,4,NA,1,4,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2018-10-18,3,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,2000,2000,NA,0,0,0,0,0,NA,2,0,0,0,0,1,0,2018-11-01,2018-09-18,1,28,1,9,0,NA,1,0,0,0,5,50000,0,NA,NA,10000,9000,4.000861644744873,1,3
101986,1,0,0,0,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,3,1,1,3,3,3,3,NA,1,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-08-31,3,3,3,1,3,NA,NA,NA,2000,NA,NA,NA,NA,2000,NA,0,679,230,0,909,NA,2,0,0,1,1,1,0,NA,2018-09-18,0,57,6,13,0,NA,1,0,0,0,1,10000,1,180000,0,8000,2400,0.4711224138736725,1,3
100581,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,3,4,3,3,3,3,3,NA,2,3,1,2,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9,3,7,1,3,NA,NA,NA,NA,NA,2000,NA,NA,2000,NA,0,2500,15000,20,17520,NA,2,0,0,1,1,1,0,2018-10-12,2018-09-21,0,30,1,14,0,NA,1,0,0,0,3,99000,1,215000,178000,0,55000,1.0506712198257446,1,3
101202,NA,0,0,0,0,1,0,0,NA,NA,0,1,0,1,1,0,0,0,0,1,NA,4,NA,4,5,NA,NA,NA,NA,9,3,7,3,7,1,3,3,3,3,NA,1,3,8,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-09-27,9,6,6,6,6,0,2000,0,0,0,0,0,NA,2000,0,500,19650,22000,0,42150,0,1,0,1,1,1,0,0,2018-10-30,2018-09-22,1,86,1,13,0,NA,1,0,0,0,2,192000,1,400000,0,900000,0,1.0307319164276123,1,3
100035,1,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,4,1,4,1,4,12,13,13,4,1,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2018-10-01,6,6,3,6,6,0,80,NA,NA,NA,NA,NA,NA,80,NA,0,500,25,35,560,NA,1,0,0,0,0,1,0,2018-11-01,2018-09-20,0,60,4,10,0,NA,1,0,0,0,2,10000,0,NA,NA,6000,0,0.457209974527359,1,3
102956,1,1,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,0,1,NA,NA,9,NA,4,NA,NA,NA,NA,9,7,3,3,2,1,3,3,3,3,NA,2,3,5,2,NA,NA,NA,1,0,NA,NA,NA,0,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-10-09,3,3,3,6,8,NA,NA,NA,NA,2000,NA,NA,NA,2000,NA,179,6300,3000,0,9479,NA,3,0,0,1,1,1,0,2018-10-31,2018-09-20,1,60,1,14,0,NA,1,0,0,0,3,75000,1,1000000,400000,2500000,20000,0.31889888644218445,1,3
104351,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,3,NA,NA,NA,4,NA,NA,NA,NA,NA,2,3,1,3,1,1,3,3,3,NA,1,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2018-09-28,6,6,2,1,1,2000,NA,NA,NA,NA,NA,NA,NA,2000,NA,8200,2711,1024,1179,13114,NA,2,0,0,1,1,1,0,2018-10-31,2018-09-18,1,48,4,13,0,NA,1,0,0,0,1,93000,1,380000,98000,500000,0,0.33383384346961975,1,3
