id,age,agerange,highest_education,work_occupation,gender,hhincome,hourswork,livewithpartner,race,marital_status,hispaniclatino,hispaniclatino_group,workfullpart,statereside,laborstatus,start_date,end_date,pa031,pa035,pa005,pa026_a,csh_stored,pa055_b1,pa055_b2,pa055_b3,pa055_b4,pa055_b5,mobile_adopt,mobile_inperson_adopt,mobile_p2p_adopt,computer_adopt,pa044_d,pa013,pa198_b,fees_paid_atm,fees_paid_overdraft,fees_paid_bounced,fees_paid_lowbal,fees_paid_excesstran,fees_paid_teller,fees_paid_none,chk_acnt_num,sav_acnt_num,pa002,pa053,cc_rewards,ccfee_csh,ccfee_late,ccfee_baltran,ccfee_annual,ccfee_overlimit,ccfee_foreign,ccfee_none,pa052,pa056,pa198_a,pa198_c,pa198_f,pa198_g,pa198_i,pa198_k,heard_crypto,crypto_value,pa133_a,pa133_b,pa133_c,which_crypto_bitcoin,which_crypto_eth,which_crypto_doge,which_crypto_lite,which_crypto_other,which_crypto,pa050_csh,pa050_chk,pa050_mon,pa050_dc,pa050_cc,pa050_svc,pa050_banp,pa050_obbp,pa050_crypto,pa024,pa044_a,pa044_b,pa044_c,pa044_g,pa044_h,pa044_i,pa044_e,pa040_e,pa042_a,pa042_e,used_chkcashing,underbanked_monord,underbanked_remittance,pa055_a2_followup,pu010,pu009,pu011,ph006,ph004,ph009_a,ph009_b,ph009_c,ph009_d,ph025_b,ph025_c,ph025_d,income_hh,homeowner,de012,paypref_b1,paypref_web,q115_c_filter,paypref_inperson,bnpl001,bnpl002,bnpl003,bnpl004,bnpl006,have_cash_end,race_white,race_black,race_asian,as003_i4,as003_i1,as003_i2,as003_i3,as003_i5,as003_i6,as003_a7,as003_b7,as003_c7,as003_d7,as003_e7,as003_f7,as003_g7,as003_h7,as003_i7,hh_size,shops_online,cashless01,cashless02s1,cashless02s2,cashless02s3,cashless02s4,cashless02s5,cashless02,cashless03s1,cashless03s2,cashless03s3,cashless03s4,cashless03s5,cashless03,cashless04,cashless06,cashless07s1,cashless07s2,cashless07s3,cashless07s4,cashless07s5,cashless07s6,cashless07,cashless08s1,cashless08s2,cashless08s3,cashless08s4,cashless08s5,cashless08s6,cashless08,fr001_a,fr001_b,fr001_d,fr001_e,chk_acnt_adopt,sav_acnt_adopt,bnk_acnt_adopt,paypal_adopt,zelle_adopt,venmo_adopt,other_nbops_adopt,nbop_acnt_adopt,ob_adopt,mb_adopt,chk_adopt,mon_adopt,csh_adopt,paper_adopt,dc_adopt,cc_adopt,svc_adopt,card_adopt,banp_adopt,obbp_adopt,elect_adopt,crypto_adopt,crypto_used,cc_num,dc_num,pa126_a,race_other,work_employed,work_onleave,work_temp_unemployed,work_looking,work_retired,work_disabled,work_other,work_self,census_division,e_exp_cover,e_exp_csh,e_exp_chk,e_exp_prepaid,e_exp_od,e_exp_cc,e_exp_sav,e_exp_heloc,e_exp_pawn,e_exp_payday,e_exp_csh_saved,e_exp_chk_saved,e_exp_sav_saved,e_exp_prepaid_saved,e_exp_tot_saved,e_exp_fam,memory_receipts,memory_finrec,memory_memory,memory_oth,memory_none,interest_level,watch_video,video_helpful,urban_cat,ind_weight,ind_weight_all,as003_a4,as003_b4,as003_h4,as003_c4,as003_d4,as003_e4,as003_f4,as003_g4,as003_g1,as003_h1,as003_a1,as003_b1,as003_c1,as003_d1,as003_e1,as003_f1,as003_h2,as003_g2,as003_f2,as003_e2,as003_d2,as003_c2,as003_b2,as003_a2,as003_a3,as003_b3,as003_c3,as003_d3,as003_e3,as003_f3,as003_g3,as003_h3,as003_h5,as003_a5,as003_b5,as003_c5,as003_d5,as003_e5,as003_f5,as003_g5,as003_h6,as003_a6,as003_b6,as003_c6,as003_d6,as003_e6,as003_f6,as003_g6
104348,39,NA,14,2,1,15,40,NA,1,1,0,NA,1,21,1,2022-10-03,2022-10-03,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,NA,1,1,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,0,0,0,1,NA,0,1,NA,1,1,0,1,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,6,0,0,0,0,0,0,0,0,120000,1,NA,3,3,1,3,1,1,2,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,.,3,NA,NA,NA,NA,NA,NA,NA,.,1,0,1,1,1,0,4-5-3-1,5,4,5,5,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,NA,0,1,0,0,0,0,0,0,0,6,2000,0,0,0,0,0,2000,0,0,0,1000,0,15000,0,16000,0,1,0,1,0,0,1,1,1,2,0.6606224179267883,1.167494773864746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100984,73,NA,10,2,1,13,43,NA,1,1,0,NA,1,21,5,2022-10-25,2022-10-25,1,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,NA,1,0,0,0,0,0,0,0,1,7,2,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,1,0,0,0,NA,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,1,NA,4,0,0,0,0,0,0,0,0,63000,1,NA,2,NA,0,1,2,2,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,.,1,3,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,.,5,4,3,3,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,2,1,NA,0,0,0,0,0,1,0,0,0,6,2000,0,0,0,0,0,2000,0,0,0,63,127,2100,0,2290,0,1,1,1,0,0,3,1,1,2,0.43633854389190674,0.5713993906974792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101986,61,NA,13,3,0,9,40,0,1,6,0,NA,1,21,1,2022-10-17,2022-10-17,1,1,NA,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,NA,1,1,0,0,0,0,0,0,1,7,6,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,1,0,1,1,NA,1,1,NA,0,1,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,6,0,0,0,0,0,0,0,0,14000,1,NA,7,10,1,3,1,1,2,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,.,3,NA,NA,NA,NA,NA,NA,NA,.,0,0,1,0,0,0,3,5,5,5,5,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,6,2,NA,0,1,0,0,0,0,0,0,0,6,1000,0,0,0,0,0,1000,0,0,0,0,1273,3100,0,4373,0,0,0,1,0,0,2,0,NA,3,0.5735686421394348,0.7181510329246521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100035,64,NA,10,2,0,3,16,0,1,4,0,NA,0,40,1,2022-10-31,2022-10-31,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,NA,1,1,0,0,0,0,0,0,1,7,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,1,0,1,0,NA,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,6,0,0,0,0,0,0,0,0,8000,1,NA,2,4,1,4,1,2,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,.,1,1,1,1,0,1,0,0,1-4-2,NA,NA,NA,NA,NA,NA,.,5,5,5,5,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,3,2,NA,0,1,0,0,0,0,0,0,0,7,2000,0,2000,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,0.31538212299346924,0.35592299699783325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102468,63,NA,13,4,0,8,15,NA,1,1,0,NA,0,21,5,2022-10-06,2022-10-06,1,1,NA,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,NA,1,1,0,0,0,0,0,0,1,7,1,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,1,0,1,1,0,0,0,NA,0,1,0,1,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,7,0,0,0,0,0,0,0,0,60000,1,NA,7,3,1,3,2,2,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,.,2,NA,NA,NA,NA,NA,NA,NA,.,0,0,1,1,0,0,4-3,1,3,2,2,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,1,6,2000,0,2000,0,0,0,0,0,0,0,70,5800,20000,0,25870,0,1,1,1,0,0,3,1,1,3,0.19238907098770142,0.20283575356006622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104351,52,NA,13,2,1,15,40,0,1,4,0,NA,1,21,1,2022-10-11,2022-10-11,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,NA,1,1,0,0,0,1,0,0,0,4,1,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,5,0,0,0,0,0,0,0,0,105000,1,NA,2,NA,0,1,1,2,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,.,1,3,0,1,0,1,0,0,2-4,NA,NA,NA,NA,NA,NA,.,5,5,5,5,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,NA,0,1,0,0,0,0,0,0,0,6,2000,0,2000,0,0,0,0,0,0,0,300,21938,5650,2000,29888,0,1,1,1,0,0,1,0,NA,2,0.49135473370552063,0.6753947734832764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103676,62,NA,13,1,1,16,40,NA,6,1,0,NA,1,32,5,2022-10-11,2022-10-11,1,1,NA,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,NA,1,1,0,0,0,0,0,0,1,7,2,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,1,0,0,1,1,1,1,NA,1,1,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,5,0,0,0,0,0,0,0,0,150000,1,NA,3,3,1,3,1,1,2,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,.,1,4,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,.,5,5,5,5,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,2,1,NA,0,0,0,0,0,1,0,0,0,8,2000,0,0,0,2000,0,0,0,0,0,0,0,20000,0,20000,0,1,1,1,0,0,1,1,1,2,1.6115678548812866,1.9325848817825317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100009,72,NA,13,NA,0,4,NA,0,1,5,0,NA,NA,21,6,2022-10-13,2022-10-13,1,1,NA,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,NA,NA,1,1,0,0,0,0,0,0,1,7,2,1,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,0,0,0,1,1,1,1,NA,0,1,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,7,0,0,0,0,0,0,0,0,10000,0,NA,7,3,1,5,2,2,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,.,2,NA,NA,NA,NA,NA,NA,NA,.,1,0,1,0,1,0,1-3-5,5,5,4,4,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,2,1,NA,0,0,0,0,0,0,1,0,NA,6,400,100,200,0,100,0,0,0,0,0,200,0,0,0,200,0,1,1,0,0,0,2,1,1,3,0.3692605793476105,0.48313242197036743,4,2,4,4,4,4,4,4,4,2,3,2,4,4,3,3,2,4,4,3,3,4,4,4,2,2,2,4,3,2,4,2,2,3,2,4,4,3,3,4,3,3,3,4,4,3,4,4
100901,55,NA,11,2,0,9,20,0,2,6,0,NA,0,21,1,2022-10-18,2022-10-18,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,.,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,0,1,1,NA,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,NA,0,1,NA,NA,NA,NA,NA,7,0,0,0,0,0,NA,0,0,0,0,NA,4,4,1,1,3,3,NA,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,.,3,NA,NA,NA,NA,NA,NA,NA,.,1,0,0,0,1,0,1-5,5,5,5,5,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,NA,3,NA,0,1,0,0,0,0,0,0,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,200,500,0,700,NA,1,0,1,0,0,1,1,1,3,0.5024400353431702,0.6339592337608337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103755,61,NA,10,2,1,13,55,NA,1,1,0,NA,1,21,1,2022-10-02,2022-10-02,0,0,NA,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,.,NA,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,1,0,0,1,NA,0,0,1,NA,0,0,1,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,NA,1,0,72000,1,NA,4,4,1,4,1,2,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,.,2,NA,NA,NA,NA,NA,NA,NA,.,1,0,1,1,1,0,4-1-3-5,3,4,3,3,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,NA,1,NA,0,1,0,0,0,0,0,0,0,6,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,0.4047088921070099,0.4985421299934387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
