freq,size_emp,cost,unit,geo,2005,2010,2015,2020,2005_value,2005_note,2010_value,2010_note,2015_value,2015_note,2020_value,2020_note
A,10-49,DIR,EUR,AT,120 ,231 b,216 ,184 ,120.0,,231.0,b,216.0,,184.0,
A,10-49,DIR,PPS,AT,116 ,210 b,204 ,: ,116.0,,210.0,b,204.0,,,
A,10-49,DIR,PPS_EU27_2020,AT,111 ,208 b,195 ,161 ,111.0,,208.0,b,195.0,,161.0,
A,10-49,LCP,EUR,AT,85 ,166 ,208 ,196 ,85.0,,166.0,,208.0,,196.0,
A,10-49,LCP,PPS,AT,82 ,151 ,195 ,: ,82.0,,151.0,,195.0,,,
A,10-49,LCP,PPS_EU27_2020,AT,79 ,149 ,187 ,172 ,79.0,,149.0,,187.0,,172.0,
A,10-49,NET,EUR,AT,-4 ,-10 b,3 ,18 ,-4.0,,-10.0,b,3.0,,18.0,
A,10-49,NET,PPS,AT,-4 ,-9 b,3 ,: ,-4.0,,-9.0,b,3.0,,,
A,10-49,NET,PPS_EU27_2020,AT,-4 ,-9 b,3 ,16 ,-4.0,,-9.0,b,3.0,,16.0,
A,10-49,TOTAL,EUR,AT,200 ,387 b,427 ,399 ,200.0,,387.0,b,427.0,,399.0,
A,10-49,TOTAL,PPS,AT,193 ,351 b,402 ,: ,193.0,,351.0,b,402.0,,,
A,10-49,TOTAL,PPS_EU27_2020,AT,186 ,348 b,384 ,349 ,186.0,,348.0,b,384.0,,349.0,
A,50-249,DIR,EUR,AT,302 ,370 b,295 ,209 ,302.0,,370.0,b,295.0,,209.0,
A,50-249,DIR,PPS,AT,291 ,337 b,278 ,: ,291.0,,337.0,b,278.0,,,
A,50-249,DIR,PPS_EU27_2020,AT,280 ,333 b,266 ,183 ,280.0,,333.0,b,266.0,,183.0,
A,50-249,LCP,EUR,AT,219 ,393 ,346 ,300 ,219.0,,393.0,,346.0,,300.0,
A,50-249,LCP,PPS,AT,211 ,357 ,326 ,: ,211.0,,357.0,,326.0,,,
A,50-249,LCP,PPS_EU27_2020,AT,203 ,354 ,311 ,262 ,203.0,,354.0,,311.0,,262.0,
A,50-249,NET,EUR,AT,-35 ,-21 b,-1 ,18 ,-35.0,,-21.0,b,-1.0,,18.0,
A,50-249,NET,PPS,AT,-34 ,-19 b,-1 ,: ,-34.0,,-19.0,b,-1.0,,,
A,50-249,NET,PPS_EU27_2020,AT,-33 ,-19 b,-1 ,16 ,-33.0,,-19.0,b,-1.0,,16.0,
A,50-249,TOTAL,EUR,AT,485 ,743 b,640 ,527 ,485.0,,743.0,b,640.0,,527.0,
A,50-249,TOTAL,PPS,AT,468 ,675 b,602 ,: ,468.0,,675.0,b,602.0,,,
A,50-249,TOTAL,PPS_EU27_2020,AT,451 ,667 b,576 ,461 ,451.0,,667.0,b,576.0,,461.0,
A,GE250,DIR,EUR,AT,461 ,505 b,296 ,199 ,461.0,,505.0,b,296.0,,199.0,
A,GE250,DIR,PPS,AT,445 ,459 b,279 ,: ,445.0,,459.0,b,279.0,,,
A,GE250,DIR,PPS_EU27_2020,AT,428 ,454 b,267 ,174 ,428.0,,454.0,b,267.0,,174.0,
A,GE250,LCP,EUR,AT,361 ,371 ,446 ,310 ,361.0,,371.0,,446.0,,310.0,
A,GE250,LCP,PPS,AT,348 ,337 ,420 ,: ,348.0,,337.0,,420.0,,,
A,GE250,LCP,PPS_EU27_2020,AT,335 ,334 ,402 ,272 ,335.0,,334.0,,402.0,,272.0,
A,GE250,NET,EUR,AT,-4 ,-32 b,-2 ,3 ,-4.0,,-32.0,b,-2.0,,3.0,
A,GE250,NET,PPS,AT,-4 ,-29 b,-2 ,: ,-4.0,,-29.0,b,-2.0,,,
A,GE250,NET,PPS_EU27_2020,AT,-4 ,-29 b,-2 ,3 ,-4.0,,-29.0,b,-2.0,,3.0,
A,GE250,TOTAL,EUR,AT,818 ,844 b,741 ,512 ,818.0,,844.0,b,741.0,,512.0,
A,GE250,TOTAL,PPS,AT,788 ,767 b,697 ,: ,788.0,,767.0,b,697.0,,,
A,GE250,TOTAL,PPS_EU27_2020,AT,760 ,759 b,667 ,448 ,760.0,,759.0,b,667.0,,448.0,
A,TOTAL,DIR,EUR,AT,322 ,384 b,272 ,197 ,322.0,,384.0,b,272.0,,197.0,
A,TOTAL,DIR,PPS,AT,310 ,349 b,256 ,: ,310.0,,349.0,b,256.0,,,
A,TOTAL,DIR,PPS_EU27_2020,AT,299 ,346 b,245 ,172 ,299.0,,346.0,b,245.0,,172.0,
A,TOTAL,LCP,EUR,AT,245 ,314 ,348 ,272 ,245.0,,314.0,,348.0,,272.0,
A,TOTAL,LCP,PPS,AT,236 ,285 ,327 ,: ,236.0,,285.0,,327.0,,,
A,TOTAL,LCP,PPS_EU27_2020,AT,227 ,282 ,313 ,238 ,227.0,,282.0,,313.0,,238.0,
A,TOTAL,NET,EUR,AT,-12 ,-22 b,0 ,12 ,-12.0,,-22.0,b,0.0,,12.0,
A,TOTAL,NET,PPS,AT,-11 ,-20 b,0 ,: ,-11.0,,-20.0,b,0.0,,,
A,TOTAL,NET,PPS_EU27_2020,AT,-11 ,-20 b,0 ,10 ,-11.0,,-20.0,b,0.0,,10.0,
A,TOTAL,TOTAL,EUR,AT,555 ,676 b,619 ,481 ,555.0,,676.0,b,619.0,,481.0,
A,TOTAL,TOTAL,PPS,AT,535 ,614 b,583 ,: ,535.0,,614.0,b,583.0,,,
A,TOTAL,TOTAL,PPS_EU27_2020,AT,516 ,607 b,557 ,420 ,516.0,,607.0,b,557.0,,420.0,
A,10-49,DIR,EUR,BE,96 ,196 ,302 ,210 ,96.0,,196.0,,302.0,,210.0,
A,10-49,DIR,PPS,BE,91 ,180 ,284 ,: ,91.0,,180.0,,284.0,,,
A,10-49,DIR,PPS_EU27_2020,BE,88 ,178 ,272 ,188 ,88.0,,178.0,,272.0,,188.0,
A,10-49,LCP,EUR,BE,189 ,334 ,465 ,275 ,189.0,,334.0,,465.0,,275.0,
A,10-49,LCP,PPS,BE,180 ,305 ,437 ,: ,180.0,,305.0,,437.0,,,
A,10-49,LCP,PPS_EU27_2020,BE,173 ,302 ,418 ,247 ,173.0,,302.0,,418.0,,247.0,
A,10-49,NET,EUR,BE,38 ,48 ,46 ,2 ,38.0,,48.0,,46.0,,2.0,
A,10-49,NET,PPS,BE,36 ,44 ,43 ,: ,36.0,,44.0,,43.0,,,
A,10-49,NET,PPS_EU27_2020,BE,35 ,43 ,41 ,2 ,35.0,,43.0,,41.0,,2.0,
A,10-49,TOTAL,EUR,BE,323 ,578 ,813 ,487 ,323.0,,578.0,,813.0,,487.0,
A,10-49,TOTAL,PPS,BE,307 ,529 ,764 ,: ,307.0,,529.0,,764.0,,,
A,10-49,TOTAL,PPS_EU27_2020,BE,296 ,523 ,731 ,437 ,296.0,,523.0,,731.0,,437.0,
A,50-249,DIR,EUR,BE,174 ,332 ,408 ,284 ,174.0,,332.0,,408.0,,284.0,
A,50-249,DIR,PPS,BE,166 ,304 ,384 ,: ,166.0,,304.0,,384.0,,,
A,50-249,DIR,PPS_EU27_2020,BE,160 ,301 ,367 ,254 ,160.0,,301.0,,367.0,,254.0,
A,50-249,LCP,EUR,BE,351 ,688 ,984 ,415 ,351.0,,688.0,,984.0,,415.0,
A,50-249,LCP,PPS,BE,334 ,629 ,924 ,: ,334.0,,629.0,,924.0,,,
A,50-249,LCP,PPS_EU27_2020,BE,322 ,622 ,884 ,372 ,322.0,,622.0,,884.0,,372.0,
A,50-249,NET,EUR,BE,35 ,33 ,50 ,2 ,35.0,,33.0,,50.0,,2.0,
A,50-249,NET,PPS,BE,33 ,30 ,47 ,: ,33.0,,30.0,,47.0,,,
A,50-249,NET,PPS_EU27_2020,BE,32 ,30 ,45 ,2 ,32.0,,30.0,,45.0,,2.0,
A,50-249,TOTAL,EUR,BE,560 ,1054 ,1442 ,701 ,560.0,,1054.0,,1442.0,,701.0,
A,50-249,TOTAL,PPS,BE,534 ,964 ,1355 ,: ,534.0,,964.0,,1355.0,,,
A,50-249,TOTAL,PPS_EU27_2020,BE,514 ,953 ,1296 ,628 ,514.0,,953.0,,1296.0,,628.0,
A,GE250,DIR,EUR,BE,374 ,615 ,643 ,359 ,374.0,,615.0,,643.0,,359.0,
A,GE250,DIR,PPS,BE,356 ,562 ,604 ,: ,356.0,,562.0,,604.0,,,
A,GE250,DIR,PPS_EU27_2020,BE,343 ,556 ,577 ,322 ,343.0,,556.0,,577.0,,322.0,
A,GE250,LCP,EUR,BE,680 ,995 ,1017 ,619 ,680.0,,995.0,,1017.0,,619.0,
A,GE250,LCP,PPS,BE,648 ,910 ,955 ,: ,648.0,,910.0,,955.0,,,
A,GE250,LCP,PPS_EU27_2020,BE,625 ,900 ,914 ,555 ,625.0,,900.0,,914.0,,555.0,
A,GE250,NET,EUR,BE,34 ,14 ,36 ,11 ,34.0,,14.0,,36.0,,11.0,
A,GE250,NET,PPS,BE,32 ,13 ,34 ,: ,32.0,,13.0,,34.0,,,
A,GE250,NET,PPS_EU27_2020,BE,31 ,12 ,32 ,10 ,31.0,,12.0,,32.0,,10.0,
A,GE250,TOTAL,EUR,BE,1088 ,1624 ,1695 ,990 ,1088.0,,1624.0,,1695.0,,990.0,
A,GE250,TOTAL,PPS,BE,1037 ,1485 ,1593 ,: ,1037.0,,1485.0,,1593.0,,,
A,GE250,TOTAL,PPS_EU27_2020,BE,999 ,1469 ,1524 ,887 ,999.0,,1469.0,,1524.0,,887.0,
A,TOTAL,DIR,EUR,BE,243 ,435 ,498 ,301 ,243.0,,435.0,,498.0,,301.0,
A,TOTAL,DIR,PPS,BE,231 ,398 ,468 ,: ,231.0,,398.0,,468.0,,,
A,TOTAL,DIR,PPS_EU27_2020,BE,223 ,394 ,447 ,270 ,223.0,,394.0,,447.0,,270.0,
A,TOTAL,LCP,EUR,BE,454 ,745 ,865 ,477 ,454.0,,745.0,,865.0,,477.0,
A,TOTAL,LCP,PPS,BE,432 ,681 ,813 ,: ,432.0,,681.0,,813.0,,,
A,TOTAL,LCP,PPS_EU27_2020,BE,417 ,674 ,777 ,428 ,417.0,,674.0,,777.0,,428.0,
A,TOTAL,NET,EUR,BE,35 ,28 ,42 ,7 ,35.0,,28.0,,42.0,,7.0,
A,TOTAL,NET,PPS,BE,34 ,25 ,39 ,: ,34.0,,25.0,,39.0,,,
A,TOTAL,NET,PPS_EU27_2020,BE,32 ,25 ,38 ,6 ,32.0,,25.0,,38.0,,6.0,
A,TOTAL,TOTAL,EUR,BE,732 ,1207 ,1405 ,785 ,732.0,,1207.0,,1405.0,,785.0,
A,TOTAL,TOTAL,PPS,BE,697 ,1104 ,1320 ,: ,697.0,,1104.0,,1320.0,,,
A,TOTAL,TOTAL,PPS_EU27_2020,BE,672 ,1092 ,1262 ,704 ,672.0,,1092.0,,1262.0,,704.0,
A,10-49,DIR,EUR,BG,11 ,12 b,38 ,10 ,11.0,,12.0,b,38.0,,10.0,
A,10-49,DIR,PPS,BG,31 ,26 b,82 ,: ,31.0,,26.0,b,82.0,,,
