freq,na_item,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,B1GQ,CP_EUR_HAB,AL	3330 	3470 	3590 	3770 	4100 	4540 	4880 	4710 	5420 	6500 	: 	: 
A,B1GQ,CP_EUR_HAB,AT	37890 	38640 	39640 	40690 	41760 	43360 	44570 	42650 	45380 	49640 	52330 	53830 
A,B1GQ,CP_EUR_HAB,BE	35360 	36130 	36860 	37810 	38980 	40210 	41730 	40190 	43680 	48060 	51140 	52370 p
A,B1GQ,CP_EUR_HAB,BG	5870 	6080 	6560 	7070 	7720 	8340 	9250 	9440 	10960 	13310 	14660 	16260 
A,B1GQ,CP_EUR_HAB,CH	65730 	66920 	75460 	74200 	72810 	72120 	75110 	75280 	79140 	89660 	92760 	96010 
A,B1GQ,CP_EUR_HAB,CY	20940 	20320 	20810 	21930 	23230 	24660 	26110 	24630 	27850 	31560 	33870 	35730 p
A,B1GQ,CP_EUR_HAB,CZ	15280 	15140 	16230 	17040 	18700 	20270 	21740 	20980 	23430 	26670 	29330 	29440 
A,B1GQ,CP_EUR_HAB,DE	35600 	36960 	37950 	39030 	40630 	41800 	43030 	42020 	44910 	48340 p	50660 p	51830 p
A,B1GQ,CP_EUR_HAB,DK	46240 	47070 	47900 	49270 	51060 	51950 	53040 	53540 	58640 	64430 	62910 	65650 
A,B1GQ,CP_EUR_HAB,EA19	29740 	30410 	31400 	32170 	33320 	34350 	35410 	33840 	36750 	39850 	42190 	43640 
A,B1GQ,CP_EUR_HAB,EA20	29510 	30170 	31160 	31920 	33080 	34110 	35160 	33610 	36500 	39610 	41950 	43400 
A,B1GQ,CP_EUR_HAB,EE	14520 	15480 	16000 	16860 	18480 	20040 	21490 	20960 	23650 	27260 	28080 	28990 
A,B1GQ,CP_EUR_HAB,EL	16240 p	16160 p	16210 p	16190 p	16490 p	16830 p	17270 p	15660 p	17350 p	19570 p	21300 p	22480 p
A,B1GQ,CP_EUR_HAB,ES	22020 	22380 	23440 	24190 	25160 	25950 	26620 	23850 	26090 	28790 	30980 p	32630 p
A,B1GQ,CP_EUR_HAB,EU27_2020	26250 	26850 	27800 	28490 	29650 	30640 	31700 	30510 b	33260 	36140 	38380 	39940 
A,B1GQ,CP_EUR_HAB,FI	37410 	37690 	38350 	39250 	40790 	42040 	43200 	42740 	44890 	47890 	48920 	49100 
A,B1GQ,CP_EUR_HAB,FR	32280 	32620 	33200 	33530 	34290 	35080 	36090 	34280 	36920 	38920 	41340 p	42590 p
A,B1GQ,CP_EUR_HAB,HR	10590 	10560 	10960 	11610 	12430 	13310 	14130 	12980 	15070 	17540 	20530 	22200 p
A,B1GQ,CP_EUR_HAB,HU	10350 	10810 	11520 	11950 	13080 	14070 	15200 	14370 	16090 	17550 	20560 	21550 p
A,B1GQ,CP_EUR_HAB,IE	39590 	43120 	57980 	58060 	63960 	68530 	73230 	75820 	88070 	100140 	99080 	104510 
A,B1GQ,CP_EUR_HAB,IS	38460 p	42350 p	49180 p	57900 p	65850 p	65330 p	63430 p	54190 p	61360 p	74950 p	77210 p	79480 p
A,B1GQ,CP_EUR_HAB,IT	26880 	27120 	27620 	28360 	29070 	29690 	30200 	28100 	31160 	33860 	36330 	37310 p
A,B1GQ,CP_EUR_HAB,LI	128380 	133180 	148440 	147270 	148690 	146100 	146830 	142470 	168450 	173290 p	186890.00000000 e	: 
A,B1GQ,CP_EUR_HAB,LT	11780 	12400 	12860 	13490 	14870 	16300 	17520 	17890 	20190 	23690 	25880 	27350 
A,B1GQ,CP_EUR_HAB,LU	90030 	92760 	95090 	96230 	97440 	98870 	100420 	102190 	113920 	117100 	122970 	127030 p
A,B1GQ,CP_EUR_HAB,LV	10930 	11430 	12010 	12500 	13400 	14620 	15450 	15370 	17130 	19130 	21030 	21640 
A,B1GQ,CP_EUR_HAB,ME	5350 	5530 	5790 	6300 	6790 	7340 	7820 	6610 	7880 	9530 	11340 	12260 
A,B1GQ,CP_EUR_HAB,MK	4240.00000000 e	4470.00000000 e	4740.00000000 e	5070.00000000 e	5290.00000000 e	5690.00000000 e	6000.00000000 e	5840.00000000 e	6440.00000000 e	7230.00000000 e	8020.00000000 e	8590.00000000 e
A,B1GQ,CP_EUR_HAB,MT	19120 	20620 	23000 	23900 	26820 	28240 	28920 	27870 	32210 	33790 	37770 	40530 
A,B1GQ,CP_EUR_HAB,NL	39610 	40240 	41270 	42290 	43830 	45690 	47840 	46810 	50850 	56140 	58740 p	62380 p
A,B1GQ,CP_EUR_HAB,NO	77920 	73670 	67390 	64060 	67520 	70150 	68270 	60020 	78670 	103990 	80890 	80200 
A,B1GQ,CP_EUR_HAB,PL	10260 	10750 	11390 	11270 	12360 	13280 	14190 	14310 b	15770 	17520 b	19980 	22610 
