freq,size_emp,cost,unit,geo\TIME_PERIOD	2005 	2010 	2015 	2020 
A,10-49,DIR,EUR,AT	120 	231 b	216 	184 
A,10-49,DIR,EUR,BE	96 	196 	302 	210 
A,10-49,DIR,EUR,BG	11 	12 b	38 	10 
A,10-49,DIR,EUR,CY	82 	126 	88 	113 
A,10-49,DIR,EUR,CZ	48 	61 b	83 bd	63 b
A,10-49,DIR,EUR,DE	144 	184 b	191 	171 
A,10-49,DIR,EUR,DK	401 u	372 b	208 	137 
A,10-49,DIR,EUR,EE	81 	63 b	99 	84 
A,10-49,DIR,EUR,EL	33 	35 b	18 	25 
A,10-49,DIR,EUR,ES	59 	98 b	109 	60 
A,10-49,DIR,EUR,EU27_2020	104 	141 	136 	115 
A,10-49,DIR,EUR,EU28	127 	146 b	147 	: 
A,10-49,DIR,EUR,FI	256 	213 b	286 	118 
A,10-49,DIR,EUR,FR	142 	181 	75 	61 
A,10-49,DIR,EUR,HR	: 	78 	75 	41 
A,10-49,DIR,EUR,HU	34 	34 b	25 	31 b
A,10-49,DIR,EUR,IE	340 	: 	186 	163 
A,10-49,DIR,EUR,IT	71 	87 	117 	155 
A,10-49,DIR,EUR,LT	21 	41 b	50 	32 
A,10-49,DIR,EUR,LU	201 	329 b	301 	297 
A,10-49,DIR,EUR,LV	: 	18 	32 	28 
A,10-49,DIR,EUR,MK	: 	: 	130 	22 
A,10-49,DIR,EUR,MT	81 	196 b	150 	100 
A,10-49,DIR,EUR,NL	222 u	303 b	386 	361 
A,10-49,DIR,EUR,NO	188 	363 	469 	423 
A,10-49,DIR,EUR,PL	18 	17 b	27 	21 
A,10-49,DIR,EUR,PT	47 	121 b	69 	29 
A,10-49,DIR,EUR,RO	11 	: 	14 	4 
A,10-49,DIR,EUR,RS	: 	: 	: 	32 
A,10-49,DIR,EUR,SE	242 	456 b	440 b	329 b
A,10-49,DIR,EUR,SI	183 	119 b	194 	149 
A,10-49,DIR,EUR,SK	37 	126 b	97 	96 
A,10-49,DIR,EUR,UK	301 	185 b	219 	: 
A,10-49,DIR,PPS,AT	116 	210 b	204 	: 
A,10-49,DIR,PPS,BE	91 	180 	284 	: 
A,10-49,DIR,PPS,BG	31 	26 b	82 	: 
A,10-49,DIR,PPS,CY	97 	138 	100 	: 
A,10-49,DIR,PPS,CZ	83 	87 b	132 bd	: 
A,10-49,DIR,PPS,DE	141 	175 b	184 	: 
A,10-49,DIR,PPS,DK	297 u	279 b	160 	: 
A,10-49,DIR,PPS,EE	137 	95 b	138 	: 
A,10-49,DIR,PPS,EL	39 	37 b	22 	: 
A,10-49,DIR,PPS,ES	65 	103 b	124 	: 
A,10-49,DIR,PPS,EU27_2020	108 	142 	142 	: 
A,10-49,DIR,PPS,EU28	127 	146 b	147 	: 
A,10-49,DIR,PPS,FI	222 	181 b	237 	: 
A,10-49,DIR,PPS,FR	132 	162 	70 	: 
A,10-49,DIR,PPS,HR	: 	112 	123 	: 
A,10-49,DIR,PPS,HU	55 	57 b	43 	: 
A,10-49,DIR,PPS,IE	286 	: 	172 	: 
A,10-49,DIR,PPS,IT	70 	86 	119 	: 
A,10-49,DIR,PPS,LT	41 	70 b	85 	: 
A,10-49,DIR,PPS,LU	181 	272 b	256 	: 
A,10-49,DIR,PPS,LV	: 	28 	48 	: 
A,10-49,DIR,PPS,MK	: 	: 	310 	: 
A,10-49,DIR,PPS,MT	121 	262 b	188 	: 
A,10-49,DIR,PPS,NL	210 u	271 b	358 	: 
A,10-49,DIR,PPS,NO	142 	243 	318 	: 
A,10-49,DIR,PPS,PL	34 	29 b	48 	: 
A,10-49,DIR,PPS,PT	60 	148 b	89 	: 
A,10-49,DIR,PPS,RO	25 	: 	28 	: 
A,10-49,DIR,PPS,SE	201 	369 b	349 b	: 
A,10-49,DIR,PPS,SI	255 	143 b	245 	: 
A,10-49,DIR,PPS,SK	56 	192 b	149 	: 
A,10-49,DIR,PPS,UK	247 	173 b	173 	: 
A,10-49,DIR,PPS_EU27_2020,AT	111 	208 b	195 	161 
A,10-49,DIR,PPS_EU27_2020,BE	88 	178 	272 	188 
A,10-49,DIR,PPS_EU27_2020,BG	30 	26 b	78 	18 
A,10-49,DIR,PPS_EU27_2020,CY	93 	137 	96 	123 
A,10-49,DIR,PPS_EU27_2020,CZ	80 	86 b	126 bd	87 b
A,10-49,DIR,PPS_EU27_2020,DE	135 	173 b	176 	155 
A,10-49,DIR,PPS_EU27_2020,DK	286 u	276 b	153 	103 
A,10-49,DIR,PPS_EU27_2020,EE	132 	94 b	132 	105 
A,10-49,DIR,PPS_EU27_2020,EL	38 	36 b	21 	30 
A,10-49,DIR,PPS_EU27_2020,ES	63 	102 b	118 	64 
A,10-49,DIR,PPS_EU27_2020,EU27_2020	104 	141 	136 	115 
A,10-49,DIR,PPS_EU27_2020,EU28	123 	145 b	141 	: 
A,10-49,DIR,PPS_EU27_2020,FI	214 	179 b	227 	93 
A,10-49,DIR,PPS_EU27_2020,FR	127 	160 	67 	56 
A,10-49,DIR,PPS_EU27_2020,HR	: 	111 	118 	64 
A,10-49,DIR,PPS_EU27_2020,HU	53 	56 b	41 	49 b
A,10-49,DIR,PPS_EU27_2020,IE	275 	: 	165 	136 
A,10-49,DIR,PPS_EU27_2020,IT	68 	85 	114 	156 
A,10-49,DIR,PPS_EU27_2020,LT	39 	70 b	81 	47 
A,10-49,DIR,PPS_EU27_2020,LU	174 	269 b	245 	230 
A,10-49,DIR,PPS_EU27_2020,LV	: 	28 	46 	38 
A,10-49,DIR,PPS_EU27_2020,MK	: 	: 	296 	48 
A,10-49,DIR,PPS_EU27_2020,MT	116 	259 b	180 	114 
A,10-49,DIR,PPS_EU27_2020,NL	202 u	268 b	343 	312 
A,10-49,DIR,PPS_EU27_2020,NO	137 	240 	304 	300 
A,10-49,DIR,PPS_EU27_2020,PL	32 	29 b	46 	34 
