hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1977,3,50.59,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1977,4,53.61,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1978,1,50.32,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1978,2,57.61,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1978,3,59.57,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1978,4,56.45,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1979,1,61.42,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1979,2,63.68,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1979,3,67.17,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1979,4,68.9,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1980,1,68.14,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1980,2,70.54,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1980,3,73.78,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1980,4,71.74,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1981,1,73.34,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1981,2,74.61,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1981,3,76.39,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1981,4,82.72,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1982,1,76.56,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1982,2,72.89,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1982,3,72.11,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1982,4,80.46,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1983,1,83.16,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1983,2,82.47,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1983,3,81.52,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1983,4,82.13,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1984,1,82.03,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1984,2,83.63,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1984,3,83.48,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1984,4,84.05,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1985,1,85.22,
traditional,all-transactions,quarterly,MSA,"Bakersfield-Delano, CA",12540,1985,2,83.75,
