County,Population2021,TotalHousingUnitsAffected,UnitsPerPerson,UnitsPer100k
Alameda,1648556,1784,0.0010821591744532792,108.21591744532792
Butte,208309,110,0.0005280616776039441,52.80616776039441
Contra Costa,1161413,1859,0.0016006364660977618,160.06364660977619
El Dorado,193221,0,0.0,0.0
Fresno,1013581,0,0.0,0.0
Humboldt,136310,0,0.0,0.0
Imperial,179851,0,0.0,0.0
Kern,917673,0,0.0,0.0
Kings,153443,0,0.0,0.0
Lake,68766,1550,0.022540208824128202,2254.0208824128204
Los Angeles,9829544,30140,0.003066266349690281,306.6266349690281
Madera,159410,200,0.001254626434978985,125.4626434978985
Marin,260206,3,1.152932676417915e-05,1.152932676417915
Mendocino,91305,0,0.0,0.0
Merced,286461,214,0.0007470475911206063,74.70475911206063
Monterey,437325,1489,0.0034047904876236207,340.4790487623621
Napa,136207,0,0.0,0.0
Nevada,103487,172,0.0016620445080058365,166.20445080058366
Orange,3167809,2676,0.0008447478998891663,84.47478998891663
Placer,412300,8241,0.019987872908076642,1998.7872908076642
Riverside,2458395,725,0.0002949078565486832,29.49078565486832
Sacramento,1588921,10633,0.006691962658936473,669.1962658936474
San Benito,66677,0,0.0,0.0
San Bernardino,2194710,144,6.561231324411882e-05,6.561231324411882
San Diego,3286069,6882,0.0020942956462569715,209.42956462569714
San Francisco,815201,815,0.0009997534350424007,99.97534350424007
San Joaquin,789410,0,0.0,0.0
San Luis Obispo,283159,288,0.0010170964016683207,101.70964016683207
San Mateo,737888,9,1.2196972982349625e-05,1.2196972982349625
Santa Barbara,446475,0,0.0,0.0
Santa Clara,1885508,0,0.0,0.0
Santa Cruz,267792,3205,0.011968244010276633,1196.8244010276633
Shasta,182139,0,0.0,0.0
Solano,451716,423,0.000936429083760593,93.6429083760593
Sonoma,485887,503,0.0010352201231973689,103.52201231973689
Stanislaus,552999,2802,0.005066916938366977,506.6916938366977
Sutter,99063,84,0.0008479452469640532,84.79452469640532
Tehama,65498,0,0.0,0.0
Tulare,477054,0,0.0,0.0
Ventura,839784,0,0.0,0.0
Yolo,216986,0,0.0,0.0
Yuba,83421,0,0.0,0.0
