County,Population2021,TotalHousingUnitsAffected,UnitsPerPerson,UnitsPer100k
Alameda,1673133,1784,0.0010662631123766013,106.62631123766013
Alpine,1344,0,0.0,0.0
Amador,40095,0,0.0,0.0
Butte,217884,110,0.0005048557948266049,50.48557948266049
Calaveras,45349,0,0.0,0.0
Colusa,21780,0,0.0,0.0
Contra Costa,1161643,1859,0.0016003195473996744,160.03195473996743
Del Norte,27655,0,0.0,0.0
El Dorado,190568,0,0.0,0.0
Fresno,1003150,0,0.0,0.0
Glenn,28675,0,0.0,0.0
Humboldt,137014,0,0.0,0.0
Imperial,180051,0,0.0,0.0
Inyo,18804,0,0.0,0.0
Kern,905644,0,0.0,0.0
Kings,151887,0,0.0,0.0
Lake,67749,1550,0.02287856647330588,2287.856647330588
Lassen,32949,0,0.0,0.0
Los Angeles,10019635,30140,0.0030080936082002986,300.80936082002984
Madera,156304,200,0.0012795577848295628,127.95577848295629
Marin,262387,3,1.1433493275200372e-05,1.1433493275200373
Mariposa,17225,0,0.0,0.0
Mendocino,91534,0,0.0,0.0
Merced,279150,214,0.0007666129321153501,76.66129321153501
Modoc,8723,0,0.0,0.0
Mono,13291,0,0.0,0.0
Monterey,438953,1489,0.003392162714459179,339.2162714459179
Napa,138795,0,0.0,0.0
Nevada,102090,172,0.0016847879322166716,168.47879322166716
Orange,3182923,2676,0.000840736643644851,84.0736643644851
Placer,400330,8241,0.020585516948517475,2058.5516948517475
Plumas,19631,0,0.0,0.0
Riverside,2409331,725,0.000300913407082713,30.0913407082713
Sacramento,1571767,10633,0.006764997610969056,676.4997610969056
San Benito,63329,0,0.0,0.0
San Bernardino,2171071,144,6.632671156309489e-05,6.632671156309489
San Diego,3296317,6882,0.0020877846396447916,208.77846396447916
San Francisco,865933,815,0.0009411813616064985,94.11813616064984
San Joaquin,771406,0,0.0,0.0
San Luis Obispo,282771,288,0.0010184919952894746,101.84919952894747
San Mateo,762488,9,1.1803464447965083e-05,1.1803464447965084
Santa Barbara,447651,0,0.0,0.0
Santa Clara,1932022,0,0.0,0.0
Santa Cruz,272138,3205,0.011777113082333228,1177.7113082333228
Shasta,181935,0,0.0,0.0
Sierra,3079,0,0.0,0.0
Siskiyou,44151,0,0.0,0.0
Solano,451432,423,0.0009370181998617733,93.70181998617733
Sonoma,492498,503,0.0010213239444627187,102.13239444627187
Stanislaus,550842,2802,0.005086758090341695,508.6758090341695
Sutter,99080,84,0.0008477997577714978,84.77997577714977
Tehama,65345,0,0.0,0.0
Trinity,15818,0,0.0,0.0
Tulare,470999,0,0.0,0.0
Tuolumne,55243,0,0.0,0.0
Ventura,845255,0,0.0,0.0
Yolo,216703,0,0.0,0.0
Yuba,80404,0,0.0,0.0
