County,PercentRise_2015_2024,UnitsPer100k
Alameda,66.05212968849334,108.53562085538724
Alpine,,0.0
Amador,65.93452714045887,0.0
Butte,73.76724655068988,48.4421446658593
Calaveras,77.92419508218991,0.0
Colusa,92.46853696906135,0.0
Contra Costa,71.54348614975203,164.04190789827814
Del Norte,114.79358497469356,0.0
El Dorado,69.19557286836086,0.0
Fresno,94.09746452663408,0.0
Glenn,77.75250758105902,0.0
Humboldt,74.5368609768023,0.0
Imperial,95.53638154765949,0.0
Inyo,76.44491625383345,0.0
Kern,84.36113323472522,0.0
Kings,89.31375031653583,0.0
Lake,72.81402417473669,2416.287335536572
Lassen,54.63586291309669,0.0
Los Angeles,84.43662623831126,298.4734085346362
Madera,102.9522613065327,129.02143691174288
Marin,46.76487919858575,1.1525384659713018
Mariposa,57.697059550284166,0.0
Mendocino,58.74860196346465,0.0
Merced,103.74037403740375,79.53172907182012
Modoc,75.36519267631702,0.0
Mono,72.20874504467193,0.0
Monterey,91.88234494939204,343.71162387006825
Napa,65.6112676056338,0.0
Nevada,63.333788023462,173.5760707221572
Orange,83.08985009070943,84.57162072219613
Placer,71.07858339018793,2168.2448556476716
Plumas,67.45890557176403,0.0
Riverside,103.14616805687736,30.420184568700527
Sacramento,90.72496574730447,704.1614597923343
San Benito,70.49596653719749,0.0
San Bernardino,100.83497562493517,6.7434262131025715
San Diego,98.69312423321065,208.36657499788816
San Francisco,32.88335697615887,93.67342341306876
San Joaquin,95.0091296409008,0.0
San Luis Obispo,79.48037889039242,102.3254161411238
San Mateo,51.07518442944593,1.1750344350369157
Santa Barbara,82.12620807276862,0.0
Santa Clara,65.39871677360222,0.0
Santa Cruz,60.03499125218696,1170.7121070991543
Shasta,65.13960581886438,0.0
Sierra,75.32929292929292,0.0
Siskiyou,72.83105022831052,0.0
Solano,79.35383215237597,96.4586231272661
Sonoma,59.99381761978363,100.33571572478093
Stanislaus,95.3472134061191,519.5614322984752
Sutter,95.0006104260774,87.61682242990653
Tehama,73.19515750776445,0.0
Trinity,35.1342537232308,0.0
Tulare,94.65036061461275,0.0
Tuolumne,65.21965845391736,0.0
Ventura,75.09299692705804,0.0
Yolo,70.38502256644566,0.0
Yuba,103.29776915615906,0.0
