County,HPI_2019,HPI_2024,PercentRise_2019_2024
Alameda,248.17,313.44,26.300519804972406
Alpine,170.57,,
Amador,187.25,237.22,26.686248331108143
Butte,230.77,289.67,25.52324825583915
Calaveras,191.68,261.94,36.654841402337226
Colusa,214.0,293.63,37.21028037383177
Contra Costa,214.22,283.63,32.401269722714964
Del Norte,217.04,352.24,62.29266494655364
El Dorado,203.51,273.64,34.460223084860694
Fresno,218.9,333.77,52.47601644586568
Glenn,243.21,304.81,25.327905924920845
Humboldt,227.03,321.27,41.509932608025366
Imperial,184.13,287.81,56.30804323032641
Inyo,204.2,299.18,46.513222331048006
Kern,207.26,324.07,56.35916240470906
Kings,199.05,299.04,50.23360964581764
Lake,189.42,244.48,29.067680287192488
Lassen,167.9,202.14,20.39309112567003
Los Angeles,274.23,398.42,45.286803048535894
Madera,208.52,323.1,54.94916554766929
Marin,200.3,249.06,24.343484772840732
Mariposa,199.18,255.28,28.16547846169294
Mendocino,201.39,255.49,26.86330006455138
Merced,197.6,296.32,49.959514170040485
Modoc,180.75,265.31,46.78284923928078
Mono,200.19,291.05,45.38688246166143
Monterey,192.14,282.47,47.01259498282504
Napa,224.44,293.96,30.974870789520576
Nevada,185.81,239.48,28.88434422259297
Orange,252.49,383.5,51.88720345360211
Placer,203.12,275.83,35.79657345411578
Plumas,183.48,235.33,28.259210813167662
Riverside,228.36,362.88,58.90698896479242
Sacramento,224.6,320.17,42.55120213713269
San Benito,173.88,228.26,31.27444214400736
San Bernardino,247.03,387.25,56.762336558312754
San Diego,235.11,372.49,58.43222321466547
San Francisco,275.04,290.39,5.581006399069214
San Joaquin,199.15,288.36,44.79538036655787
San Luis Obispo,227.62,331.59,45.677005535541674
San Mateo,245.43,288.75,17.650653954284316
Santa Barbara,207.71,320.36,54.23426893264648
Santa Clara,218.57,288.72,32.09498101294781
Santa Cruz,198.51,256.12,29.021207999597003
Shasta,208.89,281.53,34.77428311551534
Sierra,164.64,216.97,31.78449951409136
Siskiyou,189.51,257.38,35.81341354018258
Solano,204.93,275.9,34.63133752988824
Sonoma,206.46,258.79,25.34631405599148
Stanislaus,211.14,307.75,45.756370180922616
Sutter,223.85,319.45,42.70716997989725
Tehama,209.22,273.25,30.604148742950006
Trinity,186.42,248.62,33.36551872116727
Tulare,200.06,310.37,55.13845846246126
Tuolumne,192.5,253.48,31.677922077922073
Ventura,223.9,324.78,45.05582849486377
Yolo,229.36,305.79,33.32316009766306
Yuba,233.22,335.36,43.79555784238059
