"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","512110","58","0","2025","1","","Alabama -- Statewide","Private","NAICS 512110 Motion picture and video production","State, NAICS 6-digit -- by ownership sector","All establishment sizes",159,408,402,413,7244110,3083165,13261,1367,"",0.48,0.18,0.14,0.16,0.12,0.17,0.07,0.75,"",9,6.0,-36,-8.1,-18,-4.3,-28,-6.3,336637,4.9,84561,2.8,-1294,-8.9,146,12.0
"01001","5","512110","78","0","2025","1","N","Autauga County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","512110","78","0","2025","1","","Baldwin County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,19,19,18,260242,129836,660,1072,"",0.69,0.20,0.17,0.17,0.13,0.17,0.09,0.74,"",1,8.3,5,35.7,2,11.8,1,5.9,38469,17.3,26518,25.7,-508,-43.5,6,0.6
"01015","5","512110","78","0","2025","1","N","Calhoun County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.17,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","512110","78","0","2025","1","N","Cleburne County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","512110","78","0","2025","1","N","Cullman County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.62,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","512110","78","0","2025","1","N","Elmore County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","512110","78","0","2025","1","N","Etowah County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","512110","78","0","2025","1","N","Houston County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.51,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","5","512110","78","0","2025","1","N","Jackson County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.40,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","512110","78","0","2025","1","","Jefferson County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",38,146,146,160,2875619,1054981,5346,1468,"",0.79,0.36,0.30,0.35,0.22,0.33,0.17,0.66,"",3,8.6,-5,-3.3,-7,-4.6,3,1.9,85047,3.0,-44965,-4.1,-661,-11.0,71,5.1
"01077","5","512110","78","0","2025","1","N","Lauderdale County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
