SQGDP1 State quarterly gross domestic product (GDP) summary
SQGDP1 State quarterly gross domestic product (GDP) summary
State or DC
GeoFips,GeoName,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2
00000,United States,16582710.0,16743162.0,16872266.0,16960864.0,16920632.0,17035114.0,17031313.0,17222583.0,17367010.0,17444525.0,17469650.0,17489852.0,17662400.0,17709671.0,17860450.0,18016147.0,17953974.0,18185911.0,18406941.0,18500031.0,18666621.0,18782243.0,18857418.0,18892206.0,19001690.0,19062709.0,19197938.0,19304352.0,19398343.0,19506949.0,19660766.0,19882352.0,20044077.0,20150476.0,20276154.0,20304874.0,20431641.0,20602275.0,20843322.0,20985448.0,20709212.0,19077992.0,20558879.0,20791917.0,21082134.0,21440929.0,21617828.0,21988737.0,21932710.0,21967045.0,22125625.0,22278345.0,22439607.0,22580499.0,22840989.0,23033780.0,23082119.0,23286508.0,23478570.0,23586542.0,23548210.0,23770976.0
01000,Alabama,195899.5,198443.9,202056.5,201420.0,199677.1,200443.7,201353.8,204016.8,204204.3,205005.6,202857.9,202634.3,207096.6,206626.8,207985.4,206142.8,203241.7,205967.1,207514.9,207556.3,206947.5,208955.9,210102.0,209795.8,211142.4,212800.7,213240.6,214267.5,215654.5,215908.3,216407.7,218491.4,220062.1,220171.5,220569.5,222432.0,223030.4,224229.4,226283.6,227547.7,226543.7,209415.5,228053.2,228089.6,232126.1,233475.4,233428.2,236774.7,236952.7,238022.8,240729.9,243680.8,245649.1,246559.4,248843.2,252203.0,251126.4,254622.8,257762.3,259006.2,258551.4,259350.5
02000,Alaska,52420.4,53799.5,54367.7,54020.4,52334.2,53339.0,54149.9,56358.6,56280.5,57869.0,57662.9,56537.0,56001.0,54089.9,54509.0,53910.7,53151.3,53151.8,53275.8,53634.1,54065.0,53539.8,53509.2,53610.5,54055.6,53431.1,53174.9,53193.8,53407.3,53436.0,54001.1,53359.2,52891.0,52440.5,52378.3,52208.4,51848.1,51864.3,52977.9,52819.7,52677.6,48845.0,50354.6,51727.9,51805.9,51468.3,51631.9,52149.8,49971.7,50264.6,50362.7,51437.6,52443.5,53955.7,54982.6,55353.5,54861.1,55735.9,56427.0,56758.9,57015.4,57292.3
04000,Arizona,276732.1,280812.3,284144.8,287320.5,287340.2,288496.1,289990.1,295818.7,296784.1,297961.7,296789.8,296773.3,298558.9,297962.7,298623.3,300294.8,299928.8,300804.3,303144.0,303007.6,307062.6,308498.9,307658.2,311111.4,313558.8,317531.4,321787.1,323156.2,328167.2,330126.9,335744.3,338357.6,343718.4,344708.1,347777.9,349388.8,351655.7,356260.0,362967.1,367424.2,365408.0,347345.9,372526.6,381071.5,384526.5,392182.4,399888.6,409232.5,408573.2,412146.5,415772.4,418703.0,422684.2,425508.2,430116.5,432267.0,439719.8,444553.6,449408.5,454191.0,449758.8,453751.0
05000,Arkansas,110194.2,112874.5,114562.6,114372.1,114337.2,114769.4,115128.4,116732.0,117016.9,117033.7,116535.8,115878.2,119297.3,119291.3,120358.6,120424.0,120481.1,121170.4,121859.3,122126.9,120865.2,121200.5,121989.6,122074.8,122538.2,122691.9,122814.1,124095.2,123336.8,123438.0,123629.3,125126.2,126156.7,126071.2,126651.1,126606.0,126186.5,126266.0,127647.6,128780.0,128037.3,122404.6,131158.5,131982.0,135006.0,138524.1,137836.6,139172.5,138095.3,137530.8,138784.6,140277.5,141692.2,141175.5,141716.9,143287.5,145301.4,146484.3,148247.9,149526.0,149837.2,149430.6
06000,California,2130529.1,2139237.4,2150266.8,2195377.7,2185033.7,2194927.2,2189999.3,2201588.5,2231663.5,2242371.4,2256039.1,2291675.1,2287676.1,2315711.1,2348046.5,2409907.6,2383712.0,2412048.9,2456771.3,2462170.6,2518399.5,2550179.7,2556125.7,2559213.2,2599892.4,2600609.1,2639393.2,2654952.0,2681002.0,2717703.9,2759618.0,2803877.1,2809417.8,2838193.8,2869602.8,2886666.7,2909833.5,2954169.3,2989756.8,3024676.3,2983725.5,2749441.3,2971514.2,3017937.5,3082947.8,3133335.9,3170470.5,3217695.6,3162422.4,3146315.9,3145009.5,3135097.6,3152233.8,3191507.9,3223877.7,3248446.4,3277174.4,3287040.8,3321635.3,3341863.6,3341872.4,3377263.9
08000,Colorado,276287.0,276800.1,279732.3,284722.8,282496.8,283488.4,283865.5,286004.4,287339.1,289500.3,288999.0,291519.8,298232.7,299053.6,302781.4,305868.9,307518.5,312405.0,317708.4,323964.3,327143.0,329499.1,331565.5,333897.0,332473.1,334071.7,339822.4,344373.5,345065.3,346383.4,351901.4,357486.4,365104.7,363911.4,364233.5,367568.5,374316.4,380797.0,389693.4,390095.8,389276.4,359895.2,384893.4,388111.0,396847.4,403095.3,408524.2,416769.7,419985.7,417459.9,424065.0,428794.0,433852.9,438202.6,442682.1,446163.1,442691.2,448156.7,451091.8,453414.4,452218.8,456150.6
09000,Connecticut,265695.9,267711.0,268138.2,265548.6,259853.4,262456.3,261076.9,262836.5,263760.0,264167.7,263167.4,263504.6,259858.1,257699.3,259224.2,258862.4,255452.9,258912.6,262121.8,265935.7,268284.2,269967.0,268581.2,268646.6,268037.6,267474.9,267530.8,269741.5,270040.6,273837.5,275125.1,276497.0,275587.5,272817.7,276166.4,273759.6,272804.2,274020.5,275671.4,278405.5,268804.0,246547.5,264532.3,267064.6,264610.4,270566.0,272422.6,275520.2,276982.3,277932.1,280144.9,282334.5,281449.2,282355.1,283339.9,285769.6,283599.0,285700.1,287156.4,288184.7,288433.8,291703.1
10000,Delaware,68996.0,67485.6,67940.0,68745.8,69868.2,71024.8,71790.2,71730.7,71929.6,71340.9,70283.8,68695.2,67653.7,67884.4,68245.1,70844.0,71254.7,73741.4,75297.4,75553.6,76773.7,77932.7,75399.8,74738.5,72505.8,72358.7,71532.1,71369.1,70907.2,68917.0,69299.1,69099.1,69615.4,70079.2,71607.7,72123.5,73177.5,74262.8,75296.0,75775.0,73874.7,69548.7,73933.7,73558.0,74086.5,74523.8,75197.2,77014.6,80129.8,80758.5,81613.4,81945.4,81260.3,81606.9,82485.6,83010.9,84133.6,85182.5,85903.7,86182.4,86356.0,87041.2
11000,District of Columbia,118597.4,120407.3,120863.4,121704.7,122126.8,122877.0,123086.4,122455.3,123126.6,123989.2,123904.3,123251.3,124418.7,123549.6,123931.5,124479.4,125898.0,126257.3,127427.3,127953.1,128720.2,129520.7,128927.9,129272.0,131617.9,132312.1,132029.2,132911.9,132445.5,133333.2,135963.9,135452.5,136413.6,137731.6,139354.8,138727.2,136985.1,138437.8,139513.7,140702.1,140108.3,132929.0,137973.0,140305.2,139865.8,143395.3,145150.1,144943.9,145054.0,142988.3,142409.9,141751.0,142009.7,143245.3,143312.7,144149.2,143979.7,144451.7,144752.1,147168.3,146251.6,146236.5
12000,Florida,842088.0,850001.2,856943.3,858793.1,846083.9,853070.2,846179.8,852247.4,855312.1,854201.6,862159.2,859772.5,873524.7,874536.8,882753.9,889918.6,890251.7,900744.5,911509.3,920088.4,929324.3,942826.0,951363.5,960202.3,961563.1,973438.5,987088.5,993868.9,1003618.4,1008929.1,1015823.3,1031096.7,1043422.3,1043767.4,1056123.0,1058422.5,1071660.3,1077271.5,1089801.6,1100922.2,1089624.0,1007695.1,1091965.9,1100641.3,1124904.2,1163580.8,1184949.3,1217187.1,1217081.0,1235640.6,1257465.3,1273523.3,1293894.1,1299054.3,1313046.5,1331574.1,1336382.9,1342756.6,1360518.4,1369442.5,1378378.1,1389502.1
13000,Georgia,466169.9,468376.6,473166.5,478640.0,478261.4,479415.4,481910.4,485274.3,486783.6,489425.7,490548.4,489351.5,497148.3,497941.2,500347.8,504163.4,507848.9,515854.4,521847.9,524496.5,532564.7,539696.9,542769.8,545402.7,556295.1,558761.7,563192.5,568623.7,576513.1,578985.7,584304.5,594370.0,592862.9,597845.3,605171.3,607859.2,611817.8,617858.1,625225.3,628078.4,616257.2,567926.0,611620.2,617006.8,628848.7,638560.5,647200.8,660383.9,659210.2,669910.5,672371.2,678936.9,671964.9,676493.3,682134.0,687196.7,690282.1,695600.7,699946.5,703974.2,702395.7,707272.9
