"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct","oty_month2_emplvl_chg","oty_month2_emplvl_pct","oty_month3_emplvl_chg","oty_month3_emplvl_pct","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct"
"01000","5","512110","58","0","2015","1","","Alabama -- Statewide","Private","Motion picture and video production","State, NAICS 6-digit -- by ownership sector","All establishment sizes",150,288,525,512,5032540,2991528,65697,876,"",0.66,0.10,0.18,0.17,0.09,0.16,0.10,0.60,"",38,33.9,84,41.2,320,156.1,275,116.0,2819073,127.4,1698845,131.4,43920,201.7,85,10.7
"01000","5","512110","58","0","2015","2","","Alabama -- Statewide","Private","Motion picture and video production","State, NAICS 6-digit -- by ownership sector","All establishment sizes",155,438,856,407,4510328,1591162,28128,612,"",0.67,0.14,0.28,0.13,0.08,0.26,0.11,0.43,"",28,22.0,209,91.3,595,228.0,141,53.0,1996882,79.4,1077444,209.7,17691,169.5,-155,-20.2
"01000","5","512110","58","0","2015","3","","Alabama -- Statewide","Private","Motion picture and video production","State, NAICS 6-digit -- by ownership sector","All establishment sizes",163,454,423,433,5340968,1195370,24954,941,"",0.69,0.15,0.14,0.14,0.09,0.22,0.11,0.67,"",25,18.1,159,53.9,62,17.2,45,11.6,1873974,54.1,-82745,-6.5,-11863,-32.2,175,22.8
"01000","5","512110","58","0","2015","4","","Alabama -- Statewide","Private","Motion picture and video production","State, NAICS 6-digit -- by ownership sector","All establishment sizes",168,407,314,290,4269901,994495,22407,975,"",0.70,0.13,0.09,0.09,0.06,0.20,0.10,0.55,"",19,12.8,76,23.0,-42,-11.8,-68,-19.0,-1629777,-27.6,-788426,-44.2,-46921,-67.7,-328,-25.2
"01003","5","512110","78","0","2015","1","","Baldwin County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,12,12,12,163958,79345,952,1051,"",0.38,0.13,0.12,0.11,0.12,0.13,0.05,0.98,"",0,0.0,3,33.3,3,33.3,3,33.3,76532,87.5,16756,26.8,394,70.6,304,40.7
"01003","5","512110","78","0","2015","2","","Baldwin County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,11,11,11,163540,9405,128,1144,"",0.37,0.10,0.10,0.10,0.10,0.03,0.01,1.05,"",0,0.0,2,22.2,2,22.2,2,22.2,82329,101.4,5524,142.3,93,265.7,450,64.8
"01003","5","512110","78","0","2015","3","","Baldwin County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,10,10,10,160437,1538,42,1234,"",0.36,0.09,0.09,0.09,0.10,0.01,0.00,1.12,"",-1,-20.0,-1,-9.1,-1,-9.1,-2,-16.7,-208,-0.1,-16191,-91.3,-275,-86.8,144,13.2
"01003","5","512110","78","0","2015","4","","Baldwin County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,11,11,11,149995,6662,176,1049,"",0.35,0.10,0.09,0.10,0.07,0.03,0.02,0.76,"",-1,-20.0,-1,-8.3,-1,-8.3,-1,-8.3,-96173,-39.1,342,5.4,23,15.0,-529,-33.5
"01015","5","512110","78","0","2015","1","N","Calhoun County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.21,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","512110","78","0","2015","2","N","Calhoun County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.21,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
