"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","512110","58","0","2017","1","","Alabama -- Statewide","Private","NAICS 512110 Motion picture and video production","State, NAICS 6-digit -- by ownership sector","All establishment sizes",111,334,349,347,3461867,1917841,37626,776,"",0.51,0.11,0.10,0.11,0.06,0.10,0.06,0.53,"",-48,-30.2,66,24.6,13,3.9,-60,-14.7,-173191,-4.8,-234625,-10.9,-2747,-6.8,-54,-6.5
"01000","5","512110","58","0","2017","2","","Alabama -- Statewide","Private","NAICS 512110 Motion picture and video production","State, NAICS 6-digit -- by ownership sector","All establishment sizes",113,343,570,426,3987735,1004380,14655,687,"",0.49,0.11,0.17,0.14,0.07,0.16,0.07,0.49,"",-3,-2.6,-85,-19.9,-19,-3.2,-2,-0.5,-427395,-9.7,-214072,-17.6,-2431,-14.2,-18,-2.6
"01000","5","512110","58","0","2017","3","","Alabama -- Statewide","Private","NAICS 512110 Motion picture and video production","State, NAICS 6-digit -- by ownership sector","All establishment sizes",115,393,357,444,4408538,1160421,25408,852,"",0.49,0.13,0.11,0.14,0.08,0.22,0.13,0.61,"",1,0.9,93,31.0,82,29.8,132,42.3,690553,18.6,770757,197.8,17070,204.7,-115,-11.9
"01000","5","512110","58","0","2017","4","","Alabama -- Statewide","Private","NAICS 512110 Motion picture and video production","State, NAICS 6-digit -- by ownership sector","All establishment sizes",120,485,427,438,7277167,1620045,44332,1244,"",0.50,0.15,0.13,0.14,0.09,0.30,0.22,0.67,"",-12,-9.1,66,15.8,-44,-9.3,78,21.7,1207826,19.9,272174,20.2,17611,65.9,124,11.1
"01003","5","512110","78","0","2017","1","","Baldwin County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,11,10,10,124147,69660,411,924,"",0.47,0.11,0.08,0.09,0.08,0.10,0.02,0.85,"",0,0.0,-1,-8.3,-2,-16.7,-2,-16.7,-37826,-23.4,-3915,-5.3,-361,-46.8,-114,-11.0
"01003","5","512110","78","0","2017","2","","Baldwin County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,9,10,9,87165,4387,26,718,"",0.54,0.08,0.08,0.08,0.05,0.01,0.00,0.67,"",1,20.0,-2,-18.2,-2,-16.7,-3,-25.0,-81521,-48.3,-4408,-50.1,-26,-50.0,-394,-35.4
"01003","5","512110","78","0","2017","3","","Baldwin County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,9,10,10,114563,7890,47,912,"",0.52,0.07,0.08,0.09,0.07,0.03,0.01,0.84,"",1,20.0,-2,-18.2,-1,-9.1,-1,-9.1,-63358,-35.6,6660,541.5,40,571.4,-332,-26.7
"01003","5","512110","78","0","2017","4","","Baldwin County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,12,13,15,169814,13279,251,980,"",0.60,0.10,0.11,0.13,0.08,0.06,0.04,0.68,"",2,40.0,1,9.1,2,18.2,2,15.4,31194,22.5,7599,133.8,218,660.6,66,7.2
"01015","5","512110","78","0","2017","1","N","Calhoun County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","512110","78","0","2017","2","N","Calhoun County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","512110","78","0","2017","3","N","Calhoun County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.21,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","512110","78","0","2017","4","N","Calhoun County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.21,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","512110","78","0","2017","1","N","Colbert County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","512110","78","0","2017","2","N","Colbert County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
