"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct","oty_month2_emplvl_chg","oty_month2_emplvl_pct","oty_month3_emplvl_chg","oty_month3_emplvl_pct","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct"
"01000","5","512110","58","0","2011","1","","Alabama -- Statewide","Private","Motion picture and video production","State, NAICS 6-digit -- by ownership sector","All establishment sizes",88,255,245,218,2621050,1520209,51321,842,"",0.45,0.09,0.09,0.08,0.05,0.09,0.05,0.63,"",-1,-1.1,14,5.8,-50,-16.9,-42,-16.2,120276,4.8,5383,0.4,8652,20.3,117,16.1
"01000","5","512110","58","0","2011","2","","Alabama -- Statewide","Private","Motion picture and video production","State, NAICS 6-digit -- by ownership sector","All establishment sizes",91,226,232,246,2643689,344024,11479,867,"",0.46,0.08,0.08,0.09,0.06,0.07,0.03,0.66,"",1,1.1,-10,-4.2,-7,-2.9,1,0.4,39858,1.5,-43353,-11.2,360,3.2,32,3.8
"01000","5","512110","58","0","2011","3","","Alabama -- Statewide","Private","Motion picture and video production","State, NAICS 6-digit -- by ownership sector","All establishment sizes",96,233,266,257,2713106,308412,10339,828,"",0.49,0.08,0.09,0.09,0.06,0.07,0.04,0.63,"",1,1.1,3,1.3,3,1.1,-46,-15.2,177101,7.0,27443,9.8,2552,32.8,93,12.7
"01000","5","512110","58","0","2011","4","","Alabama -- Statewide","Private","Motion picture and video production","State, NAICS 6-digit -- by ownership sector","All establishment sizes",94,290,285,244,3309414,422213,14047,932,"",0.47,0.10,0.10,0.09,0.05,0.11,0.06,0.53,"",-6,-6.0,19,7.0,1,0.4,-23,-8.6,130144,4.1,132533,45.8,6273,80.7,39,4.4
"01003","5","512110","78","0","2011","1","","Baldwin County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,10,10,10,117917,71792,1712,907,"",0.47,0.12,0.11,0.11,0.10,0.15,0.06,0.90,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","512110","78","0","2011","2","","Baldwin County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,10,10,10,201593,8208,180,1551,"",0.46,0.11,0.11,0.11,0.17,0.04,0.01,1.57,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","512110","78","0","2011","3","","Baldwin County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,10,10,10,191525,0,0,1473,"",0.46,0.11,0.10,0.11,0.15,0.00,0.00,1.45,"",0,0.0,1,11.1,1,11.1,1,11.1,109764,134.2,-5085,-100.0,-106,-100.0,774,110.7
"01003","5","512110","78","0","2011","4","","Baldwin County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,11,11,12,315181,10175,223,2139,"",0.45,0.12,0.12,0.13,0.20,0.08,0.03,1.59,"",0,0.0,0,0.0,0,0.0,0,0.0,66999,27.0,-15375,-60.2,-398,-64.1,455,27.0
"01015","5","512110","78","0","2011","1","N","Calhoun County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","512110","78","0","2011","2","N","Calhoun County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","512110","78","0","2011","3","N","Calhoun County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","512110","78","0","2011","4","N","Calhoun County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","512110","78","0","2011","1","-","Colbert County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","512110","78","0","2011","2","-","Colbert County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","512110","78","0","2011","3","N","Colbert County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","512110","78","0","2011","4","N","Colbert County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.44,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","512110","78","0","2011","1","N","Cullman County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","512110","78","0","2011","2","N","Cullman County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","512110","78","0","2011","3","N","Cullman County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","512110","78","0","2011","4","N","Cullman County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","512110","78","0","2011","1","N","DeKalb County, Alabama","Private","Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
