"LEA_STATE","LEA_STATE_NAME","LEAID","LEA_NAME","LEA_ADDRESS","LEA_CITY","LEA_ZIP","CJJ","LEA_HSE_IND","LEA_HSEPART_HI_M","LEA_HSEPART_HI_F","LEA_HSEPART_AM_M","LEA_HSEPART_AM_F","LEA_HSEPART_AS_M","LEA_HSEPART_AS_F","LEA_HSEPART_HP_M","LEA_HSEPART_HP_F","LEA_HSEPART_BL_M","LEA_HSEPART_BL_F","LEA_HSEPART_WH_M","LEA_HSEPART_WH_F","LEA_HSEPART_TR_M","LEA_HSEPART_TR_F","TOT_HSEPART_M","TOT_HSEPART_F","LEA_HSEPART_LEP_M","LEA_HSEPART_LEP_F","LEA_HSEPART_IDEA_M","LEA_HSEPART_IDEA_F"
"AL","Alabama","0100002","Alabama Youth Services","1000 Industrial School Road","Mt Meigs","36057","Yes","Yes",2,0,0,0,0,0,0,0,7,0,5,0,0,0,14,0,0,0,3,0
"AL","Alabama","0100005","Albertville City","107 West Main Street","Albertville","35950","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","Alabama","0100006","Marshall County","12380 Us Highway 431 S","Guntersville","35976","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","Alabama","0100007","Hoover City","2810 Metropolitan Way","Hoover","35243","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","Alabama","0100008","Madison City","211 Celtic Drive","Madison","35758","Yes","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","Alabama","0100009","Al Inst Deaf And Blind","205 E South Street","Talladega","35160","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","Alabama","0100011","Leeds City","1517 Hurst Avenue","Leeds","35094","No","Yes",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
"AL","Alabama","0100012","Boaz City","126 Newt Parker Dr","Boaz","35957","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","Alabama","0100013","Trussville City","113 North Chalkville Road","Trussville","35173","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","Alabama","0100018","Alabama School Of Fine Arts","1800 Rev Abraham Woods Jr Blvd","Birmingham","35203","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","Alabama","0100019","United Ability","120 Oslo Circle","Birmingham","35211","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","Alabama","0100020","Boyd School","20856 Eastern Valley Rd","Green Pond","35074","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","Alabama","0100021","Brewerporch Childrens Center","2501 Woodland Rd","Tuscaloosa","35404","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","Alabama","0100030","Alexander City","375 Lee Street","Alexander City","35010","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","Alabama","0100033","Glenwood Mental Health Service","150 Glenwood Lane","Birmingham","35242","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
