NCESSCH,NAME,LAT,LON,grade,zone_count,Has_Calc,Num_Calc_Classes
170000603793,IYC Chicago,41.884126,-87.687997,D,3,No,0
170002901305,Speed Program for Adaptive Learn,41.511129,-87.663784,C,1,No,0
170141006254,Horizon Science Acad-McKinley Pk,41.822594,-87.682103,C,2,Yes,2
170142606424,ACE Amandla Charter School,41.769223,-87.690965,C,1,No,0
170143606756,Urban Prep Chrtr Sch for Yng Men,41.876384,-87.625564,D,3,No,0
170993000587,Amundsen High School,41.9752,-87.6801,C,2,No,0
170993000588,Dunbar Vocational Career Acad HS,41.8396,-87.6187,D,1,No,0
170993000626,Bogan High School,41.7486,-87.7206,D,1,No,0
170993000681,Prosser Career Academy HS,41.9194,-87.7618,"C, D",3,No,0
170993000693,Cook Co Juvenile Det -York Alt HS,41.842679,-87.697088,C,2,No,0
170993000714,Young Magnet High School,41.8783,-87.6637,D,3,Yes,8
170993000718,Richards Career Academy HS,41.8028,-87.6621,"C, D",2,No,0
170993000722,Juarez Community Academy HS,41.852914,-87.66456,D,3,No,0
170993000758,Simeon Career Academy High School,41.7455,-87.6347,"C, D",3,No,0
170993000788,Farragut Career Academy HS,41.849562,-87.708282,C,2,No,0
170993000792,Fenger Academy High School,41.6896,-87.6378,"B, C",5,No,0
170993000799,Foreman High School,41.9396,-87.7539,"B, C",3,No,0
170993000809,Gage Park High School,41.791,-87.6894,C,3,No,0
170993000851,Harlan Community Academy HS,41.7188,-87.6213,"B, C, D",6,No,0
170993000879,Hirsch Metropolitan High School,41.754,-87.6019,"B, C, D",3,No,0
170993000889,Hubbard High School,41.7801,-87.7187,C,2,No,0
170993000893,Hyde Park Academy High School,41.78211,-87.587269,C,4,No,0
170993000894,Cook Co Juvenile-Jefferson Alt HS,41.8677,-87.6814,D,4,No,0
170993000895,Julian High School,41.7061,-87.6544,"C, D",5,No,0
170993000920,Thomas Kelly College Preparatory,41.818178,-87.694838,"C, D",2,Yes,1
170993000923,Kelvyn Park High School,41.92744,-87.736051,"B, C",4,No,0
170993000924,Kennedy High School,41.7902,-87.7808,C,1,No,0
170993000925,Kenwood Academy High School,41.803407,-87.589655,"B, C",3,Yes,1
170993000931,King College Prep High School,41.8139,-87.6029,"C, D",3,No,0
170993000941,Lake View High School,41.9555,-87.6686,C,2,Yes,1
170993000942,Lane Technical High School,41.9454,-87.6906,C,3,Yes,18
170993000943,Chicago Vocational Career Acad HS,41.7377,-87.5729,"B, C",2,No,0
170993000972,Marshall Metropolitan High School,41.8789,-87.7072,"C, D",3,No,0
170993000977,Mather High School,41.9881,-87.7014,B,2,Yes,2
170993000990,Jones College Prep High School,41.87346,-87.62794,D,3,Yes,11
