NCESSCH,NAME,LAT,LON,grade
170000603793,IYC Chicago,41.884126,-87.687997,D
170009805220,IL Center for Rehab & Educ-R,41.8672,-87.6755,D
170141206309,Horizon Science Acad-Belmont,41.925459,-87.770026,C
170142406394,Betty Shabazz Internl Charter Sch,41.752403,-87.599982,C
170142406396,Barbara A Sizemore Campus,41.775011,-87.634407,D
170142606424,ACE Amandla Charter School,41.769223,-87.690965,C
170143106434,Bronzeville Academy Charter Sch,41.8052,-87.606919,D
170143606756,Urban Prep Chrtr Sch for Yng Men,41.876384,-87.625564,D
170993000588,Dunbar Vocational Career Acad HS,41.8396,-87.6187,D
170993000612,Mosaic School of Fine Arts,42.0036,-87.6979,B
170993000641,Daisy Bates Acad of Social Justic,41.7392,-87.5811,B
170993000714,Young Magnet High School,41.8783,-87.6637,D
170993000718,Richards Career Academy HS,41.8028,-87.6621,D
170993000722,Juarez Community Academy HS,41.852914,-87.66456,D
170993000788,Farragut Career Academy HS,41.849562,-87.708282,C
170993000792,Fenger Academy High School,41.6896,-87.6378,B
170993000796,Owens Community Academy ES,41.670266,-87.623255,C
170993000797,Goudy Technology Academy,41.976,-87.6581,C
170993000799,Foreman High School,41.9396,-87.7539,C
170993000809,Gage Park High School,41.791,-87.6894,C
170993000856,King Academy of Social Justice,41.7655,-87.6416,D
170993000889,Hubbard High School,41.7801,-87.7187,C
170993000893,Hyde Park Academy High School,41.78211,-87.587269,C
170993000894,Cook Co Juvenile-Jefferson Alt HS,41.8677,-87.6814,D
170993000895,Julian High School,41.7061,-87.6544,D
170993000920,Thomas Kelly College Preparatory,41.818178,-87.694838,C
170993000923,Kelvyn Park High School,41.92744,-87.736051,C
170993000925,Kenwood Academy High School,41.803407,-87.589655,C
170993000931,King College Prep High School,41.8139,-87.6029,D
170993000941,Lake View High School,41.9555,-87.6686,C
170993000952,Minnie Minoso Academy,41.8304,-87.6408,D
170993000972,Marshall Metropolitan High School,41.8789,-87.7072,C
170993000977,Mather High School,41.9881,-87.7014,B
170993000990,Jones College Prep High School,41.87346,-87.62794,D
170993001002,Morgan Park High School,41.6922,-87.6657,D
170993001018,Vaughn Occupational High School,41.9602,-87.7644,B
170993001045,Pulaski Intl Sch of Chicago,41.9187,-87.6838,D
170993001061,Phillips Academy High School,41.8244,-87.6199,D
170993001072,Corliss High School,41.706391,-87.60275,D
170993001076,Graham  R Training Center,41.8495,-87.625,D
170993001086,Clemente Community Academy HS,41.9026,-87.686,D
170993001093,Roosevelt High School,41.965,-87.7146,C
