city,A,B,C,D,Total_Districts
Akron,11,19,24,13,67
Albany,6,7,9,6,28
Allentown,2,2,1,1,6
Altoona,2,13,10,5,30
Amarillo,3,2,6,9,20
Arlington,3,10,4,0,17
Asheville,3,10,4,4,21
Atlanta,9,28,42,32,111
Atlantic City,2,7,15,3,27
Augusta,1,9,8,12,30
Aurora,2,5,6,9,22
Austin,4,8,2,8,22
Baltimore,6,22,22,9,59
Battle Creek,3,8,17,11,39
Bay City,1,3,5,8,17
Beaumont,3,7,4,6,20
Belmont,4,7,4,1,16
Bergen Co.,10,52,75,24,161
Bethlehem,2,6,8,7,23
Binghamton-Johnson City,4,11,10,3,28
Birmingham,3,16,20,21,60
Boston,1,8,18,12,39
Braintree,1,5,2,0,8
Bridgeport and Fairfield,6,17,15,3,41
Brockton,2,3,10,1,16
Bronx,2,11,23,7,43
Brookline,2,5,4,1,12
Brooklyn,1,17,25,23,66
Buffalo,7,13,8,5,33
Cambridge,1,7,6,2,16
Camden,4,15,13,6,38
Canton,2,9,10,7,28
Cedar Rapids,4,14,5,3,26
Charleston,5,11,14,13,43
Charlotte,3,7,13,11,34
Chattanooga,4,8,11,8,31
Chelsea,0,0,4,1,5
Chester,6,6,6,3,21
Chicago,49,160,327,147,683
Cleveland,31,55,76,28,190
Columbia,7,9,10,7,33
Columbus,12,39,45,20,116
Council Bluffs,3,7,6,2,18
Covington,7,18,17,6,48
Dallas,10,15,12,9,46
Davenport,2,7,11,4,24
Dayton,7,11,15,14,47
Decatur,2,9,6,7,24
Dedham,0,3,5,2,10
Denver,6,12,20,16,54
Des Moines,7,6,6,5,24
Detroit,15,39,122,62,238
Dubuque,1,2,4,3,10
Duluth,4,7,13,8,32
Durham,5,6,7,6,24
East St. Louis,7,9,16,15,47
El Paso,4,6,6,7,23
Elmira,1,5,10,8,24
Erie,4,17,19,7,47
Essex Co.,31,46,44,22,143
Evansville,2,3,12,7,24
Everett,0,0,1,3,4
Fall River,1,1,1,1,4
Fargo,2,2,3,4,11
Fitchburg,4,6,6,2,18
Flint,2,9,19,24,54
Fort Wayne,5,15,20,7,47
Fort Worth,8,11,16,17,52
Fresno,2,5,9,8,24
Galveston,1,1,1,1,4
Grand Forks,1,1,1,1,4
Grand Rapids,6,20,28,7,61
Greater Kansas City,10,23,47,40,120
Greensboro,3,6,9,3,21
Hamilton,2,4,12,5,23
Harrisburg,4,15,9,20,48
Hartford,8,6,10,3,27
Haverhill,2,5,10,8,25
Holyoke Chicopee,2,7,10,7,26
Houston,7,14,15,11,47
Hudson Co.,0,7,22,31,60
Huntington,8,10,16,4,38
Indianapolis,5,17,24,27,73
Jackson,5,12,14,8,39
Jacksonville,2,4,5,1,12
