NCESSCH,NAME,LAT,LON,grade,Has_Calc,Num_Calc_Classes,Has_CS,Num_CS_Classes,Has_Physics,Num_Physics_Classes
010020402476,i3 Academy Phase 1,33.537507999999995,-86.763339,D,No,0,No,0,No,0
010020402510,i3 Academy Phase 2,33.564945,-86.72630299999999,D,No,0,No,0,No,0
010020702502,LIFE Academy at Historic St Jude Educational Institute,32.352191999999995,-86.32825900000002,D,No,0,No,0,No,0
010039000139,Hudson KEight School,33.556521000000004,-86.805707,D,No,0,No,0,No,0
010039000142,Inglenook School,33.5639,-86.780651,C,No,0,No,0,No,0
010039000165,Parker High School,33.514596000000004,-86.829301,D,No,0,No,0,Yes,7
010039000174,Princeton School,33.50292799999999,-86.86053599999998,D,No,0,No,0,No,0
010039000176,Ramsay High School,33.4976,-86.79859999999998,C,Yes,37,No,0,Yes,28
010039000190,Washington K8,33.49604399999999,-86.828323,D,No,0,No,0,No,0
010039000192,Wenonah High School,33.454570000000004,-86.884829,D,Yes,1,Yes,4,No,0
010039000198,Woodlawn High SchoolMagnet,33.5422,-86.7521,D,Yes,6,Yes,5,No,0
010039001288,Dupuy Alternative School,33.54798099999999,-86.76936599999999,D,No,0,No,0,No,0
010039002187,West End Academy,33.48402099999999,-86.867949,D,No,0,No,0,No,0
010039002206,Hayes K8,33.532064000000005,-86.77107899999999,D,No,0,No,0,No,0
010144000516,Fairfield High Preparatory School,33.491187,-86.908318,C,No,0,Yes,2,No,0
010144000519,Robinson Primary School,33.477599999999995,-86.91459999999998,D,No,0,No,0,No,0
010144001363,Fairfield Area Vocational School,33.491187,-86.908318,C,No,0,No,0,No,0
010192000718,Irondale Community School,33.5348,-86.70919999999998,D,No,0,No,0,No,0
010192002496,Jefferson County Virtual School,33.48761,-86.793791,D,No,0,Yes,1,Yes,1
010237000907,W H Council Traditional School,30.672199999999997,-88.0501,D,No,0,No,0,No,0
010237000916,Dunbar Creative Performing Arts,30.6932,-88.04999999999998,D,No,0,No,0,No,0
010243001011,McIntyre Comprehensive Academy,32.36090999999999,-86.33198099999998,D,No,0,No,0,No,0
010243001024,Johnson Abernathy Graetz High School,32.3432,-86.26259999999999,B,No,0,Yes,2,Yes,1
010243001035,Percy Julian High School,32.37870199999999,-86.271649,C,Yes,1,Yes,7,No,0
010243001691,Childrens Center,32.384605,-86.282772,C,No,0,No,0,No,0
010243001776,Baldwin Art And Academics Magnet,32.37331499999999,-86.305463,D,No,0,No,0,No,0
010249001057,Mountain Brook Junior High School,33.4933,-86.756,A,No,0,No,0,No,0
010327002138,Tarrant Intermediate School,33.57927500000001,-86.768032,C,No,0,No,0,No,0
010358502689,Freedom Prep Academy,33.492687,-86.82774199999999,D,No,0,No,0,No,0
040005600781,Arizona School For The Arts,33.464439,-112.069791,B,Yes,5,No,0,Yes,4
040005700784,City View High School,33.456125,-112.081191,C,No,0,Yes,7,No,0
040010901592,Phoenix Advantage Charter School,33.4914,-112.0486,C,No,0,No,0,No,0
040012401589,Genesis Academy,33.4654,-112.0661,B,No,0,No,0,No,0
040023801854,Metropolitan Arts Institute,33.4666,-112.083,A,No,0,No,0,Yes,1
040038601894,Kaizen Education Foundation dba Summit High School,33.46619999999999,-112.06369999999998,B,No,0,No,0,No,0
040043202200,Arizona Virtual Academy,33.47639099999999,-112.07106599999999,B,No,0,Yes,15,Yes,3
040064003569,KELLY,33.43182,-112.04935099999999,D,No,0,No,0,No,0
040064102881,Children First Leadership Academy,33.43182,-112.04935099999999,D,No,0,No,0,No,0
040076403799,ASU Preparatory Academy Pilgrim Rest STEM K-5 School,33.44685499999999,-112.05163,D,No,0,No,0,No,0
040085803286,ASU Preparatory Academy- Phoenix High School,33.454094,-112.06396399999998,C,Yes,2,Yes,1,Yes,2
040088103394,BASIS Phoenix Central Primary,33.492,-112.07130000000001,C,No,0,No,0,No,0
040088503768,Incito Schools-Phoenix,33.466392,-112.05400500000002,B,No,0,No,0,No,0
040088703415,Vista College Preparatory - Hadley,33.43949,-112.081829,D,No,0,No,0,No,0
040091303795,Arizona Autism Charter - Online High School,33.495072,-112.05085,C,No,0,No,0,No,0
040091303796,Arizona Autism Charter School-Online K-8,33.495072,-112.05085,C,No,0,No,0,No,0
040093403493,Self Development Academy-Phoenix,33.494346,-112.05009899999999,C,No,0,No,0,No,0
040095003508,Pathways in Education,33.472252,-112.065508,A,No,0,No,0,Yes,1
040099003649,Phoenix Modern,33.489048000000004,-112.06975899999999,B,No,0,No,0,No,0
040101403732,Copper State Academy,33.466392,-112.05400500000002,B,No,0,No,0,No,0
040243001999,Excelencia School,33.464582,-112.035399,B,No,0,No,0,No,0
040243003743,Creighton Virtual Academy,33.464582,-112.035399,B,No,0,No,0,No,0
040630000148,Phoenix Prep Academy,33.454094,-112.06396399999998,C,No,0,No,0,No,0
040630000520,Paul Dunbar Lawrence School,33.4407,-112.0841,D,No,0,No,0,No,0
040630000521,Thomas A Edison School,33.4574,-112.044,D,No,0,No,0,No,0
040630000525,Garfield School,33.4575,-112.05359999999999,C,No,0,No,0,No,0
