NCESSCH,NAME,LAT,LON,CITY,STATE
170011004813,Neal Math Science Academy,42.324,-87.85535,North Chicago,IL
170011004814,A J Katzenmaier Academy,42.326049,-87.862726,North Chicago,IL
170011004815,Evelyn Alexander School,42.337313,-87.840019,North Chicago,IL
170011005370,North Chicago Community High Sch,42.328032,-87.853182,North Chicago,IL
170011006357,Green Bay Early Childhood Center,42.3209,-87.868603,North Chicago,IL
170011006401,LEARN 10 Charter School,42.315417,-87.853826,North Chicago,IL
170141006254,Horizon Science Acad-McKinley Pk,41.822594,-87.682103,Chicago,IL
170141206309,Horizon Science Acad-Belmont,41.925459,-87.770026,Chicago,IL
170142406394,Betty Shabazz Internl Charter Sch,41.752403,-87.599982,Chicago,IL
170142406396,Barbara A Sizemore Campus,41.775011,-87.634407,Chicago,IL
170142606424,ACE Amandla Charter School,41.769223,-87.690965,Chicago,IL
170143106434,Bronzeville Academy Charter Sch,41.8052,-87.606919,Chicago,IL
170143606756,Urban Prep Chrtr Sch for Yng Men,41.876384,-87.625564,Chicago,IL
170143806763,Intrinsic 2 Charter High School,41.880598,-87.630555,Chicago,IL
170588000264,Benjamin Middle School,41.913159,-88.17221,West Chicago,IL
170642000312,Bloom High School,41.5148,-87.6439,Chicago Heights,IL
170642000313,Bloom Trail High School,41.484484,-87.594632,Chicago Heights,IL
170993000048,Avondale - Logandale Elem Sch,41.9343,-87.708,Chicago,IL
170993000411,Chavez Elem Multicultural Acad Ct,41.807577,-87.665725,Chicago,IL
170993000441,Jordan Elem Community School,42.0173,-87.6781,Chicago,IL
170993000581,Audubon Elem School,41.9454,-87.6816,Chicago,IL
170993000582,Avalon Park Elem School,41.7485,-87.5913,Chicago,IL
170993000585,Barnard Elem Comp Math & Sci Ctr,41.7055,-87.6585,Chicago,IL
170993000586,Barry Elem School,41.9328,-87.7397,Chicago,IL
170993000587,Amundsen High School,41.9752,-87.6801,Chicago,IL
170993000588,Dunbar Vocational Career Acad HS,41.8396,-87.6187,Chicago,IL
170993000589,Barton Elem School,41.7546,-87.6714,Chicago,IL
170993000590,Bass Elem School,41.7745,-87.6535,Chicago,IL
170993000591,Bateman Elem School,41.9582,-87.7024,Chicago,IL
170993000597,Nicholson Tech Acad Elem Sch,41.7844,-87.6476,Chicago,IL
170993000601,Beaubien Elem School,41.9721,-87.7571,Chicago,IL
170993000602,Beethoven Elem School,41.8083,-87.6272,Chicago,IL
170993000603,Beidler Elem School,41.8852,-87.7053,Chicago,IL
170993000604,Belding Elem School,41.9587,-87.7337,Chicago,IL
170993000605,Bell Elem School,41.9495,-87.6866,Chicago,IL
170993000607,Bennett Elem School,41.7103,-87.617,Chicago,IL
170993000609,Black Magnet Elem School,41.7294,-87.5764,Chicago,IL
170993000610,Blaine Elem School,41.9509,-87.665,Chicago,IL
170993000611,Bond Elem School,41.7653,-87.6533,Chicago,IL
170993000612,Mosaic School of Fine Arts,42.0036,-87.6979,Chicago,IL
170993000614,Bradwell Comm Arts & Sci Elem Sch,41.7546,-87.5574,Chicago,IL
170993000615,Haley Elem Academy,41.686416,-87.633381,Chicago,IL
170993000616,Brennemann Elem School,41.9602,-87.6494,Chicago,IL
