city,A,B,C,D,Total_Districts
Akron,11,19,24,13,67
Albany,6,7,9,6,28
Asheville,3,10,4,4,21
Atlanta,9,28,42,32,111
Baltimore,6,22,22,9,59
Battle Creek,3,8,17,11,39
Beaumont,3,7,4,6,20
Bergen Co.,10,52,75,24,161
Binghamton-Johnson City,4,11,10,3,28
Birmingham,3,16,20,21,60
Bridgeport and Fairfield,6,17,15,3,41
Buffalo,7,13,8,5,33
Camden,4,15,13,6,38
Cedar Rapids,4,14,5,3,26
Charleston,5,11,14,13,43
Charlotte,3,7,13,11,34
Chattanooga,4,8,11,8,31
Chester,6,6,6,3,21
Chicago,49,160,327,147,683
Cleveland,31,55,76,28,190
Columbia,7,9,10,7,33
Columbus,12,39,45,20,116
Covington,7,18,17,6,48
Dallas,10,15,12,9,46
Dayton,7,11,15,14,47
Denver,6,12,20,16,54
Des Moines,7,6,6,5,24
Detroit,15,39,122,62,238
Duluth,4,7,13,8,32
Durham,5,6,7,6,24
East St. Louis,7,9,16,15,47
El Paso,4,6,6,7,23
Erie,4,17,19,7,47
Essex Co.,31,46,44,22,143
Fort Wayne,5,15,20,7,47
Fort Worth,8,11,16,17,52
Grand Rapids,6,20,28,7,61
Greater Kansas City,10,23,47,40,120
Greensboro,3,6,9,3,21
Harrisburg,4,15,9,20,48
Hartford,8,6,10,3,27
Houston,7,14,15,11,47
Huntington,8,10,16,4,38
Indianapolis,5,17,24,27,73
Jackson,5,12,14,8,39
Kalamazoo,3,9,24,10,46
Knoxville,4,12,16,12,44
Lake Co. Gary,7,13,23,14,57
Lexington,8,9,17,8,42
Little Rock,5,12,10,8,35
Los Angeles,57,121,167,71,416
Louisville,8,16,17,13,54
Lower Westchester Co.,18,30,28,14,90
Lynchburg,4,3,15,10,32
Lynn,5,6,6,3,20
Madison,5,9,15,10,39
Manhattan,8,12,6,27,53
Memphis,7,8,8,3,26
Miami,15,25,21,13,74
Milwaukee Co.,10,29,49,24,112
Minneapolis,14,22,20,14,70
Mobile,6,14,9,6,35
Montgomery,3,3,6,7,19
New Castle,3,6,8,9,26
New Haven,8,10,20,9,47
New Orleans,10,23,52,49,134
Norfolk,5,16,45,30,96
Oakland,12,46,41,20,119
Ogden,3,6,5,9,23
Oklahoma City,13,12,32,33,90
Peoria,4,6,9,4,23
Philadelphia,10,28,18,26,82
Phoenix,5,8,4,8,25
Pittsburgh,11,27,42,34,114
Pontiac,3,8,14,9,34
Portland,17,31,38,10,96
Portsmouth,3,3,8,7,21
Pueblo,6,7,9,10,32
Richmond,7,15,14,12,48
Roanoke,4,5,14,9,32
Rochester,13,17,27,8,65
Rockford,6,7,9,10,32
Sacramento,3,16,30,7,56
Saginaw,5,4,16,6,31
Salt Lake City,4,7,9,9,29
San Diego,17,27,22,10,76
San Francisco,13,36,31,17,97
Savannah,3,8,4,8,23
Schenectady,5,5,20,7,37
Seattle,12,19,18,11,60
South Bend,6,13,13,11,43
Spokane,8,13,21,11,53
Springfield,13,17,30,31,91
St. Joseph,3,7,8,15,33
St. Louis,31,40,39,16,126
St. Paul,6,12,8,10,36
St. Petersburg,5,9,20,14,48
"Stamford, Darien, and New Canaan",8,10,6,3,27
Staten Island,4,15,24,23,66
Stockton,3,15,14,11,43
Syracuse,5,19,19,6,49
Tacoma,4,10,25,8,47
Tampa,4,5,9,6,24
Terre Haute,3,4,9,11,27
Toledo,12,22,35,9,78
Topeka,7,8,10,16,41
Tulsa,7,4,6,4,21
Union Co.,18,38,51,24,131
Utica,4,4,11,6,25
Wheeling,3,4,9,8,24
Wichita,10,5,6,17,38
York,4,7,9,7,27
Youngstown,5,10,18,9,42
