term,coef,std_err,t,p,model
Intercept,0.8281421854514723,0.2528897493338484,3.2747163047649415,0.0010576813193264292,DET_LPM_AnySTEM_BinaryRedline
Redline_CD,-0.28287964265301985,0.06004048419293423,-4.711481701979847,2.45922181374456e-06,DET_LPM_AnySTEM_BinaryRedline
MAGNET_FLAG,0.0,0.0,,,DET_LPM_AnySTEM_BinaryRedline
CHARTER_FLAG,0.0,0.0,,,DET_LPM_AnySTEM_BinaryRedline
PCT_CERTIFIED_FTE,0.0017656624782382592,0.002597502207378731,0.6797539856645886,0.4966602467234643,DET_LPM_AnySTEM_BinaryRedline
TITLE1_FLAG,0.0,0.0,,,DET_LPM_AnySTEM_BinaryRedline
Intercept,0.8491592606365851,0.25583730946264993,3.3191377067720262,0.0009029588902217344,DET_LPM_AnySTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.B]",-0.004986470722757597,0.053939585201142365,-0.09244547773519012,0.9263441080931398,DET_LPM_AnySTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.C]",-0.2519991900444572,0.07530444572514412,-3.3464052170868683,0.0008186666251623307,DET_LPM_AnySTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.D]",-0.31783603178382874,0.08663158702576192,-3.6688238400770934,0.000243668900402992,DET_LPM_AnySTEM_GradeCat
MAGNET_FLAG,0.0,0.0,,,DET_LPM_AnySTEM_GradeCat
CHARTER_FLAG,0.0,0.0,,,DET_LPM_AnySTEM_GradeCat
PCT_CERTIFIED_FTE,0.0015582721008617346,0.0026421948070080538,0.5897642735231463,0.555348697748797,DET_LPM_AnySTEM_GradeCat
TITLE1_FLAG,0.0,0.0,,,DET_LPM_AnySTEM_GradeCat
Intercept,25.479819025446975,11.322164545371086,2.250437089422451,0.02442121281780495,DET_LPM_TotalSTEM_BinaryRedline
Redline_CD,-24.488115689450517,11.179692132884801,-2.190410558571582,0.028494474961768337,DET_LPM_TotalSTEM_BinaryRedline
MAGNET_FLAG,0.0,0.0,,,DET_LPM_TotalSTEM_BinaryRedline
CHARTER_FLAG,0.0,0.0,,,DET_LPM_TotalSTEM_BinaryRedline
PCT_CERTIFIED_FTE,0.07383747576595578,0.03471384704953332,2.1270323528417006,0.03341739515518408,DET_LPM_TotalSTEM_BinaryRedline
TITLE1_FLAG,0.0,0.0,,,DET_LPM_TotalSTEM_BinaryRedline
Intercept,31.994190493271986,12.173452681057075,2.628193605505007,0.008583964541009412,DET_LPM_TotalSTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.B]",-30.991927586999303,26.54048346164631,-1.1677227972047224,0.2429185980228078,DET_LPM_TotalSTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.C]",-27.26524203812039,12.219221462751806,-2.231340361678016,0.02565859203951971,DET_LPM_TotalSTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.D]",-32.18327287918302,11.994275716901253,-2.6832193655372834,0.007291714400584646,DET_LPM_TotalSTEM_GradeCat
MAGNET_FLAG,0.0,0.0,,,DET_LPM_TotalSTEM_GradeCat
CHARTER_FLAG,0.0,0.0,,,DET_LPM_TotalSTEM_GradeCat
PCT_CERTIFIED_FTE,0.059977370937277154,0.03215192500657405,1.8654363906675473,0.0621202604936442,DET_LPM_TotalSTEM_GradeCat
TITLE1_FLAG,0.0,0.0,,,DET_LPM_TotalSTEM_GradeCat
