NCESSCH,NAME,LAT,LON,grade,Has_Calc,Num_Calc_Classes,Has_CS,Num_CS_Classes,Has_Physics,Num_Physics_Classes
260001500767,WayneWestland Innovative Academy,42.269214,-83.37845899999999,C,No,0,No,0,Yes,2
260013901488,Cesar Chavez High School,42.3121,-83.1143,D,Yes,2,No,0,Yes,1
260016601035,Academy for Business and Technology High School,42.2746,-83.19669999999999,C,No,0,No,0,Yes,4
260017001039,Detroit Community Schools  High School,42.38030499999999,-83.24744,D,No,0,Yes,3,Yes,1
260021708533,Oakland International Academy  High School,42.393644,-83.059049,C,No,0,No,0,Yes,9
260022701485,Voyageur College Prep,42.332811,-83.11885000000001,D,No,0,No,0,Yes,2
260022801198,Star International Academy,42.333744,-83.276484,C,Yes,1,No,0,Yes,4
260023208742,Detroit Edison Public School Academy  High School,42.35307900000001,-83.037793,D,No,0,No,0,Yes,1
260023701207,Universal Academy,42.328098,-83.145445,D,Yes,2,No,0,Yes,2
260029101941,Riverside Academy  West Campus,42.336952999999994,-83.177735,C,No,0,No,0,Yes,3
260032201947,Covenant High School Southwest,42.320632,-83.08522899999998,D,No,0,No,0,Yes,2
260032201948,Covenant High School East,42.38866000000001,-83.00785899999998,C,No,0,No,0,Yes,1
260032201949,Covenant High School Central,42.33531399999999,-83.08839799999998,D,No,0,No,0,Yes,2
260095208134,University Preparatory Science and Math PSAD High School,42.3371,-83.0204,D,No,0,No,0,Yes,5
260095607842,University Preparatory Academy PSAD  High School,42.362823999999996,-83.07460799999998,D,No,0,No,0,Yes,5
260097208180,Michigan Virtual Charter Academy,42.4513,-83.0874,D,Yes,1,Yes,1,Yes,2
260101308336,Capstone Academy Charter School SDA  South Campus,42.34776299999999,-83.054996,D,No,0,Yes,1,No,0
260101308822,CapstoneWayne Co Juvenile Detention Fac,42.389361,-83.046303,D,No,0,Yes,1,No,0
260102308403,WAY Academy  Vernor Site,42.309037,-83.132641,C,No,0,No,0,No,0
260106208462,Detroit Public Safety Academy,42.32517399999999,-83.06743599999999,D,No,0,No,0,No,0
260107608613,Pathways Academy,42.36553200000001,-82.97018999999999,D,No,0,No,0,No,0
260110300093,Detroit School of Arts,42.34853999999999,-83.061153,D,No,0,No,0,Yes,6
260110300279,Davis Aerospace Technical High School at Golightly,42.37002999999999,-82.951292,C,No,0,No,0,Yes,3
260110300749,Golightly Career and Technical Center,42.37002999999999,-82.951292,C,No,0,No,0,No,0
260110301423,Detroit Lions Academy,42.34949999999999,-83.083617,C,No,0,Yes,7,Yes,2
260110301703,Diann BanksWilliamson Educational Center,42.408022,-82.929002,C,No,0,No,0,No,0
260110304669,Cass Technical High School,42.338773999999994,-83.06059299999998,D,Yes,3,Yes,11,Yes,39
260110304670,Central High School,42.383626,-83.111805,C,No,0,Yes,3,Yes,11
260110304693,Denby High School,42.425737,-82.95856,A,Yes,1,Yes,5,Yes,13
260110304703,Martin Luther King Jr Senior High School,42.342603999999994,-83.01660400000002,D,Yes,1,Yes,5,Yes,27
260110304830,Southeastern High School,42.373948,-82.97811699999998,C,No,0,Yes,6,Yes,19
260110304857,Western International High School,42.319100000000006,-83.09175199999999,C,Yes,3,Yes,3,Yes,26
260110307415,Frederick Douglass Academy for Young Men,42.38276499999999,-83.08068399999999,D,No,0,Yes,14,Yes,6
260110307972,Detroit International Academy for Young Women,42.41215900000001,-83.049195,C,No,0,No,0,Yes,4
260110308271,Crockett Midtown High School of Science and Medicine,42.350776999999994,-83.05186999999998,D,Yes,2,No,0,Yes,6
260110308306,East English Village Preparatory Academy at Finney,42.408022,-82.929002,C,No,0,Yes,5,Yes,15
260110308902,Legacy Academy,42.340405,-83.089615,D,No,0,No,0,Yes,3
260113108964,Center Line Preparatory Academy,42.47999999999999,-83.024509,C,No,0,No,0,No,0
260501004187,Berkley High School,42.49519999999999,-83.1812,C,No,0,Yes,3,Yes,4
260585004217,Ernest W Seaholm High School,42.538999999999994,-83.2443,A,Yes,7,Yes,1,Yes,18
260858004404,Center Line High School,42.48619999999999,-83.0205,C,Yes,1,Yes,1,Yes,2
260993004481,Clawson High School,42.53549999999999,-83.1484,C,Yes,2,Yes,5,Yes,6
261160004587,Dearborn High School,42.308699999999995,-83.26169999999999,A,Yes,27,Yes,28,Yes,24
261160004591,Fordson High School,42.3309,-83.1787,C,Yes,27,Yes,40,Yes,29
261164004621,Robichaud Senior High School,42.284506,-83.286626,D,No,0,Yes,4,Yes,3
261164007904,Westwood Virtual Academy,42.297429,-83.29108499999998,C,No,0,No,0,Yes,2
261164008604,Westwood North Academy,42.297429,-83.29108499999998,C,No,0,No,0,Yes,2
261245004950,Eastpointe High School,42.46363,-82.96204,D,No,0,No,0,No,0
261245008766,Eastpointe Virtual Academy,42.46363,-82.96204,D,No,0,No,0,No,0
261245008832,Eastpointe Alternative Center,42.46363,-82.96204,D,No,0,No,0,No,0
261293004988,Ecorse Community High School,42.250299999999996,-83.1485,D,Yes,1,Yes,2,Yes,1
261293008570,Downriver Digital Academy,42.2509,-83.15079999999999,D,No,0,No,0,No,0
261293008849,Hope Academic Academy,42.2509,-83.15079999999999,D,No,0,No,0,No,0
261407005038,Visions Unlimited,42.456277,-83.371604,C,No,0,No,0,No,0
261407005039,Farmington High School,42.464,-83.36109999999998,C,Yes,15,Yes,8,Yes,13
261428001901,University High School,42.46746,-83.134919,C,No,0,Yes,9,Yes,4
261428005072,Ferndale High School,42.45290000000001,-83.148314,C,Yes,2,Yes,6,Yes,9
261428008350,Tri County Educational Center,42.450386,-83.159362,D,No,0,Yes,1,No,0
261554002045,Cambridge Alternative High School,42.33529999999999,-83.32729999999998,C,No,0,No,0,No,0
261554005213,Garden City High School,42.3347,-83.3295,C,No,0,No,0,No,0
261554005219,Burger Development Center,42.280984999999994,-83.32637299999999,D,No,0,No,0,No,0
261752005421,Hamtramck High School,42.40260000000001,-83.0577,C,Yes,1,Yes,10,No,0
261752007965,Horizon High School,42.40117,-83.056871,C,No,0,No,0,No,0
261803000962,Advantage Alternative Program,42.4513,-83.0874,D,No,0,No,0,No,0
261803005475,Hazel Park High School,42.46520000000001,-83.0904,D,No,0,Yes,1,Yes,2
261803005480,Jardon Vocational School,42.4673,-83.1143,D,No,0,No,0,No,0
261803005482,Edison,42.472366,-83.12124999999999,D,No,0,No,0,No,0
261803008393,Invest Roosevelt Alternative High School,42.47031,-83.11096400000001,D,No,0,No,0,Yes,2
261803008563,Michigan Cyber Academy,42.447755,-83.087461,D,No,0,No,0,No,0
261803008776,Viking Virtual Academy,42.4513,-83.0874,D,No,0,No,0,Yes,2
262160005866,Lincoln Park High School,42.2457,-83.18979999999999,C,Yes,6,No,0,Yes,1
262574006220,Grosse Pointe South High School,42.391062,-82.902486,A,Yes,7,Yes,15,Yes,15
262574006230,Grosse Pointe North High School,42.4366,-82.8892,A,Yes,5,Yes,15,Yes,8
262976006555,River Rouge High School,42.27553,-83.136828,D,Yes,3,Yes,3,Yes,1
262976008952,River Rouge Alternative Virtual Academy,42.27553,-83.136828,D,No,0,No,0,No,0
262991006564,Riverview Community High School,42.1769,-83.17749999999998,D,Yes,1,No,0,Yes,8
262991008829,Riverview Virtual Academy,42.18440100000001,-83.185259,D,No,0,No,0,Yes,1
263222006751,South Lake High School,42.465599999999995,-82.90199999999999,C,Yes,2,Yes,2,Yes,4
263231007791,University High School Academy,42.500196,-83.235278,B,Yes,2,Yes,2,Yes,3
263267006815,Lake Shore High School,42.5221,-82.88089999999998,C,Yes,6,No,0,Yes,3
263468007048,Lincoln High School,42.462300000000006,-83.02079999999998,C,Yes,3,No,0,Yes,1
263654001265,The Lincoln Center,42.223099999999995,-83.16349999999998,D,No,0,No,0,No,0
263654007247,Jo Brighton Skills Center,42.187795,-83.17413400000001,C,No,0,No,0,No,0
263654007252,Roosevelt High School,42.2009,-83.15829999999998,C,Yes,5,Yes,3,Yes,16
263654007256,Madison School,42.187714,-83.17469,C,No,0,No,0,No,0
