NCESSCH,NAME,LAT,LON,grade,Has_Calc,Num_Calc_Classes,Has_CS,Num_CS_Classes,Has_Physics,Num_Physics_Classes
010039000165,Parker High School,33.514596000000004,-86.829301,D,No,0,No,0,Yes,7
010039000176,Ramsay High School,33.4976,-86.79859999999998,C,Yes,37,No,0,Yes,28
010039000192,Wenonah High School,33.45457,-86.884829,D,Yes,1,Yes,4,No,0
010039000198,Woodlawn High SchoolMagnet,33.5422,-86.7521,D,Yes,6,Yes,5,No,0
010144000516,Fairfield High Preparatory School,33.491187,-86.908318,C,No,0,Yes,2,No,0
010192002496,Jefferson County Virtual School,33.48761,-86.793791,D,No,0,Yes,1,Yes,1
010243001011,McIntyre Comprehensive Academy,32.36090999999999,-86.33198099999998,D,No,0,No,0,No,0
010243001024,Johnson Abernathy Graetz High School,32.343199999999996,-86.26259999999999,B,No,0,Yes,2,Yes,1
010243001035,Percy Julian High School,32.378702000000004,-86.271649,C,Yes,1,Yes,7,No,0
010243001691,Childrens Center,32.384605,-86.282772,C,No,0,No,0,No,0
010249001057,Mountain Brook Junior High School,33.4933,-86.756,A,No,0,No,0,No,0
040005600781,Arizona School For The Arts,33.464439,-112.069791,B,Yes,5,No,0,Yes,4
040005700784,City View High School,33.456125,-112.081191,C,No,0,Yes,7,No,0
040012401589,Genesis Academy,33.4654,-112.0661,B,No,0,No,0,No,0
040023801854,Metropolitan Arts Institute,33.4666,-112.083,A,No,0,No,0,Yes,1
040038601894,Kaizen Education Foundation dba Summit High School,33.46620000000001,-112.06369999999998,B,No,0,No,0,No,0
040043202200,Arizona Virtual Academy,33.47639099999999,-112.07106599999999,B,No,0,Yes,15,Yes,3
040064003569,KELLY,33.43182,-112.04935099999999,D,No,0,No,0,No,0
040085803286,ASU Preparatory Academy- Phoenix High School,33.454094,-112.06396399999998,C,Yes,2,Yes,1,Yes,2
040095003508,Pathways in Education,33.472252,-112.065508,A,No,0,No,0,Yes,1
040633001244,North High School,33.4785,-112.05799999999999,B,Yes,3,No,0,Yes,1
040633002670,Phoenix Union Bioscience High School,33.456285,-112.066839,C,Yes,8,No,0,Yes,1
040633002859,Franklin Police and Fire High School,33.46544,-112.09501599999999,B,Yes,2,No,0,No,0
050040801579,PREMIER HIGH SCHOOL OF LITTLE ROCK,34.734999,-92.289956,D,No,0,No,0,No,0
050900000607,CENTRAL HIGH SCHOOL,34.736826999999984,-92.298954,B,Yes,6,Yes,5,No,0
051068001566,NORTH LITTLE ROCK HIGH SCHOOL,34.77634,-92.26812099999998,D,Yes,6,Yes,19,Yes,3
051068001641,NORTH LITTLE ROCK CENTER OF EXCELLENCE,34.77634,-92.26812099999998,D,Yes,2,Yes,6,No,0
060015310929,Alhambra High,34.092899999999986,-118.1288,C,Yes,4,Yes,2,Yes,14
060015310932,Independence High (Alternative),34.09066099999999,-118.141227,C,No,0,No,0,No,0
060146512041,Oakland Charter High,37.78591000000001,-122.21963499999997,C,Yes,2,Yes,4,Yes,4
060146814198,America's Finest Charter,32.712839,-117.09804700000001,D,No,0,No,0,Yes,3
060148804593,Palisades Charter High,34.04787100000001,-118.531105,B,Yes,4,Yes,3,Yes,5
060149410517,Los Angeles Leadership Academy,34.08321999999998,-118.210608,D,Yes,2,Yes,1,Yes,3
060151414257,Latitude 37.8 High,37.777032999999996,-122.22941399999998,D,No,0,No,0,Yes,4
060153313917,Ingenuity Charter,32.702116,-117.06583199999997,D,No,0,Yes,12,Yes,4
060153411628,Los Angeles Academy of Arts and Enterprise,34.06153599999999,-118.26328199999998,D,Yes,1,Yes,1,Yes,1
060154810840,New Designs Charter,34.03099499999999,-118.27517399999999,D,Yes,2,Yes,2,Yes,3
060155212331,Aspire Golden State College Preparatory Academy,37.759469999999986,-122.198408,D,No,0,No,0,No,0
060156812766,Alliance Ted K. Tajima High,34.063542,-118.26155699999997,D,Yes,2,No,0,Yes,5
060157111631,New Village Girls Academy,34.071389,-118.279646,D,No,0,No,0,No,0
060158010865,CHAMPS - Charter HS of Arts-Multimedia & Performing,34.195119999999996,-118.44752,C,No,0,Yes,5,Yes,1
060159313860,Clear Passage Educational Center,33.78454,-118.18097999999999,D,No,0,No,0,No,0
060159708632,Downtown College Preparatory,37.31613999999998,-121.87307999999999,D,Yes,1,No,0,Yes,3
060161214144,Russell Westbrook Why Not? High,33.97832400000001,-118.19211499999997,C,No,0,No,0,Yes,2
060161711328,Lennox Mathematics Science and Technology Academy,33.935113,-118.351786,C,Yes,1,Yes,5,Yes,6
060163313704,College Bridge Academy,33.82337,-118.185391,C,No,0,No,0,No,0
060163508674,Alternatives in Action,37.764450000000004,-122.195422,D,No,0,No,0,No,0
060165711636,Animo Jackie Robinson High,34.017985,-118.27560899999999,D,Yes,1,No,0,Yes,6
060166408673,Alameda Community Learning Center,37.779205000000005,-122.287277,C,No,0,Yes,1,Yes,3
060167812360,Magnolia Science Academy 4,34.029596999999995,-118.43531099999997,B,No,0,Yes,1,Yes,2
060168113829,SIATech Academy South,34.033677,-118.16231499999999,D,No,0,Yes,2,No,0
060169012342,Alliance Leichtman-Levine FAM Foundation Env Sci High,34.113259,-118.246685,C,Yes,2,No,0,Yes,4
060171310897,Los Angeles College Prep Academy,34.10260499999999,-118.183261,C,Yes,1,No,0,Yes,1
