NCESSCH,NAME,LAT,LON,grade,Has_Calc,Num_Calc_Classes,Has_CS,Num_CS_Classes,Has_Physics,Num_Physics_Classes,SCH_STATUS_MAGNET,SCH_STATUS_CHARTER,MAGNET_OR_CHARTER_FLAG,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,PCT_CERTIFIED_FTE,TITLEI_STATUS,TITLE1_FLAG
010039000165,Parker High School,33.514596000000004,-86.829301,D,No,0,No,0,Yes,7,No,No,0,46.0,46.0,100.0,SWELIGTGPROG,1.0
010039000176,Ramsay High School,33.4976,-86.79859999999998,C,Yes,37,No,0,Yes,28,No,No,0,50.0,49.0,98.0,SWELIGTGPROG,1.0
010039000192,Wenonah High School,33.45457,-86.884829,D,Yes,1,Yes,4,No,0,No,No,0,40.0,36.0,90.0,SWELIGTGPROG,1.0
010039000198,Woodlawn High SchoolMagnet,33.5422,-86.7521,D,Yes,6,Yes,5,No,0,Yes,No,1,43.0,38.0,88.37209302325581,SWELIGTGPROG,1.0
010144000516,Fairfield High Preparatory School,33.491187,-86.908318,C,No,0,Yes,2,No,0,No,No,0,46.0,23.0,50.0,SWELIGTGPROG,1.0
010192002496,Jefferson County Virtual School,33.48761,-86.793791,D,No,0,Yes,1,Yes,1,No,No,0,2.0,2.0,100.0,NOTTITLE1ELIG,0.0
010243001011,McIntyre Comprehensive Academy,32.36090999999999,-86.33198099999998,D,No,0,No,0,No,0,No,No,0,20.0,20.0,100.0,SWELIGTGPROG,1.0
010243001024,Johnson Abernathy Graetz High School,32.343199999999996,-86.26259999999999,B,No,0,Yes,2,Yes,1,No,No,0,89.0,84.0,94.3820224719101,SWELIGTGPROG,1.0
010243001035,Percy Julian High School,32.378702000000004,-86.271649,C,Yes,1,Yes,7,No,0,No,No,0,75.0,71.0,94.66666666666667,SWELIGTGPROG,1.0
010243001691,Childrens Center,32.384605,-86.282772,C,No,0,No,0,No,0,No,No,0,17.0,17.0,100.0,NOTTITLE1ELIG,0.0
010249001057,Mountain Brook Junior High School,33.4933,-86.756,A,No,0,No,0,No,0,No,No,0,85.0,85.0,100.0,NOTTITLE1ELIG,0.0
040005600781,Arizona School For The Arts,33.464439,-112.069791,B,Yes,5,No,0,Yes,4,No,Yes,1,63.75,21.0,32.94117647058823,NOTTITLE1ELIG,0.0
040005700784,City View High School,33.456125,-112.081191,C,No,0,Yes,7,No,0,No,Yes,1,5.0,4.0,80.0,SWELIGSWPROG,
040012401589,Genesis Academy,33.4654,-112.0661,B,No,0,No,0,No,0,No,Yes,1,4.0,4.0,100.0,SWELIGSWPROG,
040023801854,Metropolitan Arts Institute,33.4666,-112.083,A,No,0,No,0,Yes,1,No,Yes,1,16.7,4.0,23.952095808383234,NOTTITLE1ELIG,0.0
040038601894,Kaizen Education Foundation dba Summit High School,33.46620000000001,-112.06369999999998,B,No,0,No,0,No,0,No,Yes,1,17.0,17.0,100.0,SWELIGSWPROG,
040043202200,Arizona Virtual Academy,33.47639099999999,-112.07106599999999,B,No,0,Yes,15,Yes,3,No,Yes,1,250.0,250.0,100.0,SWELIGSWPROG,
040064003569,KELLY,33.43182,-112.04935099999999,D,No,0,No,0,No,0,No,Yes,1,4.0,3.0,75.0,NOTTITLE1ELIG,0.0
040085803286,ASU Preparatory Academy- Phoenix High School,33.454094,-112.06396399999998,C,Yes,2,Yes,1,Yes,2,No,Yes,1,23.0,20.0,86.95652173913044,SWELIGSWPROG,
040095003508,Pathways in Education,33.472252,-112.065508,A,No,0,No,0,Yes,1,No,Yes,1,4.0,4.0,100.0,SWELIGTGPROG,1.0
040633001244,North High School,33.4785,-112.05799999999999,B,Yes,3,No,0,Yes,1,Yes,No,1,123.4,123.4,100.0,SWELIGSWPROG,
040633002670,Phoenix Union Bioscience High School,33.456285,-112.066839,C,Yes,8,No,0,Yes,1,No,No,0,22.5,22.5,100.0,SWELIGSWPROG,
040633002859,Franklin Police and Fire High School,33.46544,-112.09501599999999,B,Yes,2,No,0,No,0,No,No,0,22.8,22.8,100.0,SWELIGSWPROG,
050040801579,PREMIER HIGH SCHOOL OF LITTLE ROCK,34.734999,-92.289956,D,No,0,No,0,No,0,No,Yes,1,10.0,6.0,60.0,SWELIGSWPROG,
050900000607,CENTRAL HIGH SCHOOL,34.736826999999984,-92.298954,B,Yes,6,Yes,5,No,0,No,No,0,177.0,177.0,100.0,SWELIGSWPROG,
051068001566,NORTH LITTLE ROCK HIGH SCHOOL,34.77634,-92.26812099999998,D,Yes,6,Yes,19,Yes,3,No,No,0,126.0,125.0,99.20634920634922,SWELIGSWPROG,
051068001641,NORTH LITTLE ROCK CENTER OF EXCELLENCE,34.77634,-92.26812099999998,D,Yes,2,Yes,6,No,0,No,Yes,1,23.0,15.0,65.21739130434783,SWELIGSWPROG,
060015310929,Alhambra High,34.092899999999986,-118.1288,C,Yes,4,Yes,2,Yes,14,No,No,0,96.0,96.0,100.0,Not reported,
060015310932,Independence High (Alternative),34.09066099999999,-118.141227,C,No,0,No,0,No,0,No,No,0,6.0,6.0,100.0,Not reported,
060146512041,Oakland Charter High,37.78591000000001,-122.21963499999997,C,Yes,2,Yes,4,Yes,4,No,Yes,1,25.0,25.0,100.0,Not reported,
060146814198,America's Finest Charter,32.712839,-117.09804700000001,D,No,0,No,0,Yes,3,No,Yes,1,30.0,30.0,100.0,Not reported,
060148804593,Palisades Charter High,34.04787100000001,-118.531105,B,Yes,4,Yes,3,Yes,5,No,Yes,1,126.86,126.86,100.0,Not reported,
060149410517,Los Angeles Leadership Academy,34.08321999999998,-118.210608,D,Yes,2,Yes,1,Yes,3,No,Yes,1,26.0,26.0,100.0,Not reported,
060151414257,Latitude 37.8 High,37.777032999999996,-122.22941399999998,D,No,0,No,0,Yes,4,No,Yes,1,16.0,15.0,93.75,Not reported,
060153313917,Ingenuity Charter,32.702116,-117.06583199999997,D,No,0,Yes,12,Yes,4,No,Yes,1,13.0,13.0,100.0,Not reported,
060153411628,Los Angeles Academy of Arts and Enterprise,34.06153599999999,-118.26328199999998,D,Yes,1,Yes,1,Yes,1,No,Yes,1,20.0,20.0,100.0,Not reported,
060154810840,New Designs Charter,34.03099499999999,-118.27517399999999,D,Yes,2,Yes,2,Yes,3,No,Yes,1,34.0,34.0,100.0,Not reported,
060155212331,Aspire Golden State College Preparatory Academy,37.759469999999986,-122.198408,D,No,0,No,0,No,0,No,Yes,1,22.0,22.0,100.0,Not reported,
060156812766,Alliance Ted K. Tajima High,34.063542,-118.26155699999997,D,Yes,2,No,0,Yes,5,No,Yes,1,28.49,26.49,92.97999297999297,Not reported,
060157111631,New Village Girls Academy,34.071389,-118.279646,D,No,0,No,0,No,0,No,Yes,1,9.0,5.0,55.55555555555556,Not reported,
060158010865,CHAMPS - Charter HS of Arts-Multimedia & Performing,34.195119999999996,-118.44752,C,No,0,Yes,5,Yes,1,No,Yes,1,41.0,41.0,100.0,Not reported,
060159313860,Clear Passage Educational Center,33.78454,-118.18097999999999,D,No,0,No,0,No,0,No,Yes,1,2.5,2.5,100.0,Not reported,
060159708632,Downtown College Preparatory,37.31613999999998,-121.87307999999999,D,Yes,1,No,0,Yes,3,No,Yes,1,66.1,65.1,98.48714069591527,Not reported,
060161214144,Russell Westbrook Why Not? High,33.97832400000001,-118.19211499999997,C,No,0,No,0,Yes,2,No,Yes,1,16.5,6.5,39.39393939393939,Not reported,
060161711328,Lennox Mathematics Science and Technology Academy,33.935113,-118.351786,C,Yes,1,Yes,5,Yes,6,No,Yes,1,28.0,27.0,96.42857142857143,Not reported,
060163313704,College Bridge Academy,33.82337,-118.185391,C,No,0,No,0,No,0,No,Yes,1,13.1,10.1,77.09923664122137,Not reported,
060163508674,Alternatives in Action,37.764450000000004,-122.195422,D,No,0,No,0,No,0,No,Yes,1,10.0,10.0,100.0,Not reported,
060165711636,Animo Jackie Robinson High,34.017985,-118.27560899999999,D,Yes,1,No,0,Yes,6,No,Yes,1,30.0,30.0,100.0,Not reported,
060166408673,Alameda Community Learning Center,37.779205000000005,-122.287277,C,No,0,Yes,1,Yes,3,No,Yes,1,18.0,16.0,88.88888888888889,Not reported,
060167812360,Magnolia Science Academy 4,34.029596999999995,-118.43531099999997,B,No,0,Yes,1,Yes,2,No,Yes,1,9.5,9.5,100.0,Not reported,
060168113829,SIATech Academy South,34.033677,-118.16231499999999,D,No,0,Yes,2,No,0,No,Yes,1,2.0,2.0,100.0,Not reported,
060169012342,Alliance Leichtman-Levine FAM Foundation Env Sci High,34.113259,-118.246685,C,Yes,2,No,0,Yes,4,No,Yes,1,28.1,27.1,96.44128113879003,Not reported,
060171310897,Los Angeles College Prep Academy,34.10260499999999,-118.183261,C,Yes,1,No,0,Yes,1,No,Yes,1,5.0,5.0,100.0,Not reported,
060173111358,ICEF View Park Preparatory High,33.990328999999996,-118.33128000000002,B,No,0,Yes,2,Yes,1,No,Yes,1,24.0,24.0,100.0,Not reported,
060176112312,APEX Academy,34.09598700000001,-118.31390499999999,C,Yes,1,No,0,No,0,No,Yes,1,19.0,16.0,84.21052631578947,Not reported,
060177000041,Alameda High,37.76507799999999,-122.24589600000002,C,Yes,1,Yes,2,Yes,4,No,No,0,66.4,64.4,96.98795180722891,Not reported,
060177000048,Island High (Continuation),37.7762,-122.28175299999997,C,No,0,No,0,No,0,No,No,0,8.2,8.2,100.0,Not reported,
060178812386,Gompers Preparatory Academy,32.716034,-117.091563,D,Yes,1,No,0,Yes,4,No,Yes,1,65.0,65.0,100.0,Not reported,
060179813084,Math and Science College Preparatory,34.03230500000001,-118.319015,C,Yes,4,Yes,5,Yes,5,No,Yes,1,30.0,26.0,86.66666666666667,Not reported,
060179914104,Ednovate - Brio College Prep,34.053576,-118.25501800000002,D,Yes,1,Yes,1,Yes,2,No,Yes,1,18.0,13.0,72.22222222222221,Not reported,
060182912427,Big Picture Educational Academy,36.730235,-119.80818800000002,C,Yes,1,No,0,No,0,No,Yes,1,46.0,32.0,69.56521739130434,Not reported,
060185010864,Port of Los Angeles High,33.740259,-118.28257099999999,D,Yes,1,No,0,Yes,10,No,Yes,1,55.8,55.8,100.0,Not reported,
060186000059,Albany High,37.89629899999999,-122.291834,B,Yes,3,No,0,Yes,5,No,No,0,64.0,64.0,100.0,Not reported,
060186007638,MacGregor High (Continuation),37.89629899999999,-122.291834,B,No,0,No,0,No,0,No,No,0,5.0,5.0,100.0,Not reported,
060186712883,Synergy Quantum Academy,33.994012000000005,-118.26729199999997,D,Yes,1,Yes,3,Yes,5,No,Yes,1,29.5,29.5,100.0,Not reported,
060187313673,The Education Corps,33.82337,-118.185391,C,No,0,No,0,No,0,No,Yes,1,7.6,7.6,100.0,Not reported,
060188712399,Nea Community Learning Center,37.779205000000005,-122.287277,C,No,0,No,0,No,0,No,Yes,1,30.0,25.0,83.33333333333334,Not reported,
060189911635,Animo Ralph Bunche Charter High,34.0127,-118.2439,D,Yes,1,No,0,Yes,6,No,Yes,1,29.0,28.0,96.55172413793103,Not reported,
060190012378,Alliance Piera Barbaglia Shaheen Health Services Academy,33.960292,-118.294314,C,Yes,1,No,0,Yes,4,No,Yes,1,27.88,26.88,96.4131994261119,Not reported,
060192512271,Anahuacalmecac International Univ Prep of N. America,34.085122,-118.181578,C,No,0,Yes,1,No,0,No,Yes,1,20.0,20.0,100.0,Not reported,
060193410867,Alliance Judy Ivie Burton Technology Academy High,33.944161,-118.27869099999998,C,Yes,2,Yes,3,Yes,5,No,Yes,1,39.25,35.25,89.80891719745223,Not reported,
060195713410,KIPP San Francisco College Preparatory,37.732324,-122.382591,D,Yes,1,Yes,4,Yes,4,No,Yes,1,24.0,24.0,100.0,Not reported,
060197110729,Oakland Military Institute College Preparatory Academy,37.82953499999999,-122.272737,D,No,0,No,0,No,0,No,Yes,1,22.0,22.0,100.0,Not reported,
060200013537,Camino Nuevo High #2,34.076482999999996,-118.28566700000002,D,Yes,6,Yes,6,Yes,10,No,Yes,1,20.0,20.0,100.0,Not reported,
060200414117,Ednovate - Esperanza College Prep,34.03922,-118.171921,D,Yes,1,Yes,1,Yes,4,No,Yes,1,19.0,12.0,63.1578947368421,Not reported,
060205208504,Animo Leadership High,33.934767,-118.34798400000001,C,Yes,3,No,0,Yes,6,No,Yes,1,26.0,26.0,100.0,Not reported,
060207608718,Environmental Charter High - Lawndale,33.882012,-118.35526399999999,D,Yes,2,No,0,Yes,3,No,Yes,1,32.0,31.0,96.875,Not reported,
060209212248,Alain Leroy Locke College Preparatory Academy,33.935167,-118.26878999999997,C,Yes,2,No,0,Yes,12,No,Yes,1,69.0,65.0,94.20289855072464,Not reported,
060210311408,City Arts & Leadership Academy,37.721492999999995,-122.444865,C,Yes,1,No,0,Yes,2,No,Yes,1,15.0,15.0,100.0,Not reported,
060213111337,Central City Value,34.075129999999994,-118.288368,C,Yes,1,Yes,3,No,0,No,Yes,1,29.0,29.0,100.0,Not reported,
060213610056,The O'Farrell Charter,32.702116,-117.06583199999997,D,Yes,2,Yes,2,Yes,5,No,Yes,1,113.0,111.0,98.23008849557522,Not reported,
060216407497,School of Unlimited Learning,36.742404,-119.792701,C,No,0,No,0,No,0,No,Yes,1,10.0,10.0,100.0,Not reported,
060216714206,Ambassador Phillip V. Sanchez II Public Charter,36.72743,-119.8037,C,No,0,No,0,No,0,No,Yes,1,10.95,10.95,100.0,Not reported,
060217610851,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,34.03650999999999,-118.28287899999998,C,Yes,2,Yes,3,Yes,5,No,Yes,1,50.91,50.91,100.0,Not reported,
060219213735,East Bay Innovation Academy,37.746032,-122.14136400000001,C,Yes,1,Yes,5,Yes,3,No,Yes,1,29.0,23.0,79.3103448275862,Not reported,
060221514355,Da Vinci RISE High,33.907392999999985,-118.341508,D,No,0,No,0,Yes,1,No,Yes,1,22.0,22.0,100.0,Not reported,
060223113851,Collegiate Charter High School of Los Angeles,34.027172,-118.193248,D,Yes,1,No,0,No,0,No,Yes,1,11.0,11.0,100.0,Not reported,
060223511313,Oscar De La Hoya Animo Charter High,34.02320999999999,-118.20341999999997,D,No,0,No,0,Yes,6,No,Yes,1,25.0,24.0,96.0,Not reported,
060226511312,CATCH Prep Charter High Inc.,34.00919,-118.32750999999999,A,No,0,No,0,No,0,No,Yes,1,10.0,10.0,100.0,Not reported,
060226611641,Alliance Ouchi-O'Donovan 6-12 Complex,33.993479,-118.322093,C,Yes,1,No,0,No,0,No,Yes,1,66.71,61.71,92.50487183330836,Not reported,
060227912848,Alliance Renee and Meyer Luskin Academy High,33.976628000000005,-118.325831,C,No,0,Yes,1,Yes,8,No,Yes,1,29.93,25.93,86.6354827931841,Not reported,
060229211351,Oakland Unity High,37.77382999999999,-122.18457999999997,B,Yes,6,Yes,2,Yes,5,No,Yes,1,16.2,16.2,100.0,Not reported,
060230714151,Animo City of Champions Charter High,33.95252399999999,-118.32503600000001,B,Yes,1,No,0,Yes,3,No,Yes,1,17.0,15.0,88.23529411764706,Not reported,
060234513094,Ednovate - USC Hybrid High College Prep,34.013743,-118.29185000000001,C,Yes,1,Yes,1,Yes,2,No,Yes,1,19.0,11.0,57.89473684210527,Not reported,
060236211632,Alliance Patti And Peter Neuwirth Leadership Academy,34.00141,-118.27372999999999,D,No,0,No,0,Yes,13,No,Yes,1,35.21,34.21,97.15989775631922,Not reported,
060239614253,Matrix for Success Academy,34.012573,-118.25797299999999,D,No,0,No,0,No,0,No,Yes,1,7.0,7.0,100.0,Not reported,
060239807165,Options for Youth San Gabriel,34.100229999999996,-118.11052000000001,D,Yes,3,Yes,1,Yes,1,No,Yes,1,21.95,21.95,100.0,Not reported,
060241311365,Wallis Annenberg High,34.010811,-118.27372299999999,D,No,0,No,0,Yes,1,No,Yes,1,26.2,26.2,100.0,Not reported,
060242607725,Gateway High,37.78343999999999,-122.43737499999999,D,Yes,1,Yes,1,Yes,4,No,Yes,1,28.8,28.8,100.0,Not reported,
060244611642,Alliance Marc & Eva Stern Math and Science,34.063793,-118.17076299999997,C,Yes,3,No,0,Yes,5,No,Yes,1,39.31,39.31,100.0,Not reported,
