term,coef,std_err,t,p,model
Intercept,0.3799788490102345,0.6446954480661387,0.5893927902702562,0.5555978118438063,PHL_LPM_AnySTEM_BinaryRedline
Redline_CD,0.08393795097953824,0.12991585722374366,0.6460947321848375,0.5182180067190328,PHL_LPM_AnySTEM_BinaryRedline
MAGNET_FLAG,0.0,0.0,,,PHL_LPM_AnySTEM_BinaryRedline
CHARTER_FLAG,0.0,0.0,,,PHL_LPM_AnySTEM_BinaryRedline
PCT_CERTIFIED_FTE,0.004169260088208087,0.006826290547071721,0.610765108730477,0.5413550953831239,PHL_LPM_AnySTEM_BinaryRedline
TITLE1_FLAG,0.0,0.0,,,PHL_LPM_AnySTEM_BinaryRedline
Intercept,0.6121068515477233,0.6954158365050812,0.8802026347630505,0.3787495464273808,PHL_LPM_AnySTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.B]",-0.2181709180578176,0.1771279130521616,-1.2317139309012772,0.21805596407052563,PHL_LPM_AnySTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.C]",-0.08241401081850211,0.17083389491947604,-0.4824218920803078,0.6295062724875322,PHL_LPM_AnySTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.D]",-0.14249130208069927,0.1433919739882138,-0.9937188122705629,0.32035978143978094,PHL_LPM_AnySTEM_GradeCat
MAGNET_FLAG,0.0,0.0,,,PHL_LPM_AnySTEM_GradeCat
CHARTER_FLAG,0.0,0.0,,,PHL_LPM_AnySTEM_GradeCat
PCT_CERTIFIED_FTE,0.003878931484522812,0.006858508589700231,0.5655648649836205,0.5716896179606281,PHL_LPM_AnySTEM_GradeCat
TITLE1_FLAG,0.0,0.0,,,PHL_LPM_AnySTEM_GradeCat
Intercept,14.184134930117873,10.890780792156681,1.3023983496512022,0.19278024646458058,PHL_LPM_TotalSTEM_BinaryRedline
Redline_CD,-2.2900949715348338,3.088861237645682,-0.7414042895887208,0.4584483443675651,PHL_LPM_TotalSTEM_BinaryRedline
MAGNET_FLAG,0.0,0.0,,,PHL_LPM_TotalSTEM_BinaryRedline
CHARTER_FLAG,0.0,0.0,,,PHL_LPM_TotalSTEM_BinaryRedline
PCT_CERTIFIED_FTE,-0.060642374951623154,0.11322863857533803,-0.5355745305660813,0.5922526351291586,PHL_LPM_TotalSTEM_BinaryRedline
TITLE1_FLAG,0.0,0.0,,,PHL_LPM_TotalSTEM_BinaryRedline
Intercept,29.577938972854778,13.76382436739644,2.1489622493962215,0.03163739256847718,PHL_LPM_TotalSTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.B]",-14.871817738937235,7.9609863961219665,-1.8680873197047216,0.061749900717724585,PHL_LPM_TotalSTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.C]",-16.95696629897603,7.589859279854301,-2.2341608287764654,0.025472492787202605,PHL_LPM_TotalSTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.D]",-16.035546701787585,7.578465730343558,-2.115935767523836,0.03435027089634913,PHL_LPM_TotalSTEM_GradeCat
MAGNET_FLAG,0.0,0.0,,,PHL_LPM_TotalSTEM_GradeCat
CHARTER_FLAG,0.0,0.0,,,PHL_LPM_TotalSTEM_GradeCat
PCT_CERTIFIED_FTE,-0.07577938972854495,0.11633030139065297,-0.651415743126698,0.5147781507641218,PHL_LPM_TotalSTEM_GradeCat
TITLE1_FLAG,0.0,0.0,,,PHL_LPM_TotalSTEM_GradeCat
