NCESSCH,NAME,LAT,LON,grade,Has_Calc,Num_Calc_Classes,Has_CS,Num_CS_Classes,Has_Physics,Num_Physics_Classes
420001300318,Community Academy of Philadelphia CS,40.0045,-75.10669999999999,C,Yes,1,Yes,1,Yes,1
420003600391,Preparatory CS of Mathematics Science Tech and Careers,39.92849999999999,-75.18679999999999,D,No,0,Yes,22,No,0
420003800393,Imhotep Institute CHS,40.0493,-75.15489999999998,C,Yes,1,No,0,Yes,4
420004000399,Multicultural Academy CS,40.011463,-75.15013099999999,C,No,0,No,0,Yes,1
420006200504,Mastery CS-Hardy Williams,39.94170999999999,-75.226543,C,Yes,1,Yes,7,Yes,3
420007600552,Esperanza Academy CS,40.0151,-75.13319999999999,C,Yes,2,Yes,3,Yes,2
420007900564,Mariana Bracetti Academy CS,40.00561,-75.09386,D,Yes,1,No,0,No,0
420009300687,First Philadelphia Preparatory CS,40.007789,-75.080451,C,No,0,No,0,No,0
420010800692,Belmont CS,39.96705399999999,-75.204655,D,No,0,No,0,Yes,2
420014400925,Mastery CS -Thomas Campus,39.91470000000001,-75.1636,D,Yes,1,Yes,6,Yes,5
420014500944,Mastery CS - Shoemaker Campus,39.9761,-75.2286,C,Yes,2,Yes,8,Yes,6
420076006107,Boys' Latin of Philadelphia CS,39.9518,-75.2334,C,Yes,1,Yes,11,Yes,5
420076106025,Mastery CS-Pickett Campus,40.032161,-75.180554,C,Yes,2,Yes,6,Yes,3
420081606948,Sankofa Freedom Academy CS,39.986995,-75.128659,D,No,0,No,0,No,0
420082106962,Tacony Academy CS,40.067099999999996,-75.0662,B,Yes,1,No,0,Yes,2
420083507354,ASPIRA Bilingual Cyber CS,40.046789,-75.121873,B,No,0,No,0,Yes,1
420084307386,Olney Charter High School,40.028619,-75.12392300000002,B,No,0,No,0,Yes,20
420085107414,Mastery CS-Gratz Campus,40.014137,-75.155828,D,Yes,2,Yes,6,Yes,6
420085607402,Universal Audenried CS,39.9339,-75.1986,D,No,0,No,0,No,0
420085807447,Esperanza Cyber CS,40.016000000000005,-75.13389999999998,C,No,0,Yes,3,No,0
420088607568,KIPP DuBois CS,39.98,-75.22112199999998,D,No,0,No,0,No,0
420089107602,MaST Community CS II,40.048267,-75.09722199999999,B,No,0,No,0,No,0
420576003260,Cheltenham HS,40.0868,-75.16029999999999,A,Yes,5,Yes,11,Yes,6
421899000551,Gamp,39.9221,-75.1831,D,Yes,1,No,0,Yes,2
421899000765,Robeson HS for Human Services,39.957,-75.2057,D,No,0,Yes,1,Yes,2
421899000821,Parkway West,39.964735,-75.215878,D,No,0,Yes,2,Yes,4
421899000824,Lankenau HS,40.0624,-75.2526,B,No,0,No,0,No,0
421899000826,Randolph A. Philip Area Vocational-Technical High School,40.00899999999999,-75.17919999999998,C,No,0,No,0,Yes,3
421899000830,Motivation HS,39.944603,-75.242628,B,Yes,1,No,0,Yes,2
421899000899,Philadelphia Military Academy at Elverson,39.9857,-75.1544,D,No,0,Yes,4,Yes,6
421899000901,Kensington Creative & Performing Arts HS,39.9778,-75.13329999999999,D,No,0,Yes,3,Yes,6
421899000907,Kensington Health Sciences,39.9846,-75.1282,D,No,0,No,0,Yes,4
421899000923,Science Leadership Academy,39.964468,-75.16230599999999,D,Yes,2,Yes,3,Yes,4
421899000962,Academy at Palumbo,39.93999999999999,-75.1618,D,Yes,1,Yes,5,Yes,12
421899003711,Hill Freedman World Academy,40.07103,-75.174811,B,No,0,No,0,No,0
421899003808,Masterman Julia R Sec Sch,39.9635,-75.1658,D,Yes,4,Yes,1,Yes,5
421899003816,Fels Samuel HS,40.036534,-75.092611,C,No,0,Yes,3,Yes,10
