term,coef,std_err,t_value,p_value,model
Intercept,0.7714618230420298,0.17314510557508644,4.455579731692018,8.366679307079628e-06,LPM_AnySTEM_BinaryRedline
Redline_CD,-0.10545502347858277,0.0540541912076484,-1.9509129842213124,0.051067397813722985,LPM_AnySTEM_BinaryRedline
MAGNET_FLAG,0.2180224474483104,0.0641104116224469,3.400733857899213,0.0006720522383684462,LPM_AnySTEM_BinaryRedline
CHARTER_FLAG,-0.07992547949206477,0.0794145513841826,-1.0064336837390224,0.3142069972841337,LPM_AnySTEM_BinaryRedline
PCT_CERTIFIED_FTE,-0.00027117880717931743,0.0017656239915541001,-0.15358808470914928,0.877934532483873,LPM_AnySTEM_BinaryRedline
TITLE1_FLAG,0.146530052412739,0.05622332537594004,2.606214617028761,0.009154907845470517,LPM_AnySTEM_BinaryRedline
Intercept,0.7829477220642145,0.19377201667854743,4.040561353928949,5.3323412275037396e-05,LPM_AnySTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.B]",0.01012686860586259,0.09503244826235671,0.10656221944219807,0.9151362923811,LPM_AnySTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.C]",-0.05212088822371822,0.08813627569292383,-0.5913670371699498,0.554274521487291,LPM_AnySTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.D]",-0.1519253343411519,0.09882490244576127,-1.5373183335499279,0.1242153740536368,LPM_AnySTEM_GradeCat
MAGNET_FLAG,0.23804250294391294,0.06364965755447216,3.7398866245304343,0.0001841032749026592,LPM_AnySTEM_GradeCat
CHARTER_FLAG,-0.06134868456590733,0.08103708745692881,-0.7570445396191483,0.4490231789304393,LPM_AnySTEM_GradeCat
PCT_CERTIFIED_FTE,-0.000503685856970722,0.0017879804520904111,-0.2817065792759867,0.778168509198812,LPM_AnySTEM_GradeCat
TITLE1_FLAG,0.14620229541874946,0.05663955320640716,2.581275577615447,0.00984359695756247,LPM_AnySTEM_GradeCat
Intercept,23.51154219323729,8.453983443682688,2.7811199714149537,0.005417171379393803,LPM_TotalSTEM_BinaryRedline
Redline_CD,-6.674892582326658,2.289935240589922,-2.9148826848950997,0.003558222696593655,LPM_TotalSTEM_BinaryRedline
MAGNET_FLAG,3.2671589865375164,3.4797501854898107,0.9389061893469315,0.3477789111692272,LPM_TotalSTEM_BinaryRedline
CHARTER_FLAG,-11.71761682179954,2.997622396754508,-3.9089702673979456,9.269036983668117e-05,LPM_TotalSTEM_BinaryRedline
PCT_CERTIFIED_FTE,-0.056813989191257824,0.08627715408672676,-0.6585056008470999,0.5102132992652073,LPM_TotalSTEM_BinaryRedline
TITLE1_FLAG,5.475480401207141,2.7338404013929862,2.002852982353028,0.045193071013654725,LPM_TotalSTEM_BinaryRedline
Intercept,26.98377466575693,9.246350052784,2.9183163639399887,0.003519270953817735,LPM_TotalSTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.B]",-3.1236505400743093,3.4617041123511347,-0.9023447523805769,0.3668737594735666,LPM_TotalSTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.C]",-5.873917173223934,3.5565658051332236,-1.651569939953327,0.09862225214660231,LPM_TotalSTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.D]",-12.47431035756973,3.6628229689129985,-3.4056547268162625,0.0006600559892063265,LPM_TotalSTEM_GradeCat
MAGNET_FLAG,4.643632341533893,3.5046756132675125,1.3249820679422304,0.1851770989748407,LPM_TotalSTEM_GradeCat
CHARTER_FLAG,-10.75770733778984,2.9889459017974285,-3.5991642844123075,0.00031924147221565243,LPM_TotalSTEM_GradeCat
PCT_CERTIFIED_FTE,-0.07246158816687207,0.08844167385049045,-0.8193149791507506,0.4126067285368772,LPM_TotalSTEM_GradeCat
TITLE1_FLAG,5.793600411902632,2.7127155918399626,2.13571980392275,0.03270225921324029,LPM_TotalSTEM_GradeCat
